score,rank,gender,age,cls_perc_eval,bty_avg
3.8,tenure track,female,33,70.7317,4.167
2.5,tenured,male,60,70,1.667
2.2,tenured,male,62,40.9396,2
4.1,tenured,female,46,79.31035,4.333
3,tenure track,female,42,57.14286,5.333
4.6,tenured,male,51,65.40447,6.167
4.2,tenured,female,40,83.33334,3.167
3.6,tenured,female,44,100,6.5
4.7,tenured,female,46,50,4.333
4.6,tenure track,female,33,80,4.667
4.2,tenure track,female,31,56.32184,7.333
4,tenured,female,46,66.66666,4.333
3,teaching,female,52,89.47369,4.833
4.3,tenure track,female,31,79.16666,7.333
3.5,tenure track,female,36,60.8,5
4.7,tenured,female,46,80.64516,4.333
3.1,tenure track,male,35,72,4.833
3.5,tenured,female,56,80,3.833
4.2,tenured,female,51,95.45454,4
4.2,tenured,female,40,86.95652,3.167
3.6,teaching,female,57,78.94736,4.333
2.9,tenured,male,62,50.90909,2
1.7,tenured,male,60,71.875,1.667
3.7,tenured,male,52,71.75572,3.167
4.7,tenured,female,38,79.41177,6.5
3.4,tenured,male,57,93.75,2.833
4.3,tenured,female,38,74.45255,6.5
3,tenured,male,57,92.85714,2.833
4.8,tenured,female,46,100,4.333
4.7,tenure track,female,31,88.88889,7.333
4.6,tenure track,female,33,87.87878,4.667
4.6,tenured,male,51,60.62718,6.167
3.4,tenured,female,40,88.88889,3.167
4,tenured,male,57,89.61039,5.667
2.8,teaching,female,57,42.10526,4.333
4.2,tenure track,female,60,84.61539,4.333
3.8,tenured,male,52,72.5,5.833
3.5,tenured,female,40,88.09524,3.167
3.7,tenured,male,43,80,4.333
4.7,tenure track,male,42,92.85714,4
4.6,tenured,male,57,91.66666,2.833
2.6,tenured,female,56,73.91304,3.833
3,tenured,female,44,72.91666,6.5
3.2,teaching,female,52,95.2381,4.833
3.1,tenure track,female,60,94.73684,4.333
3.2,tenure track,male,35,90.90909,4.833
3.4,tenured,male,52,70.76923,5.833
3.8,teaching,female,50,75,3.167
3.5,tenured,male,42,91.66666,7.833
3.4,teaching,female,57,73.91304,4.333
3.1,tenured,male,57,66.66666,2.833
3.8,teaching,male,45,85,3.333
3.5,tenured,male,57,75,2.833
3.8,tenured,male,52,79.59184,3.167
3.5,tenured,male,42,85,7.833
3.1,tenure track,male,35,52.38095,3.667
3.2,teaching,female,57,31.81818,4.333
3.5,teaching,female,52,73.75,2.333
3.2,tenured,female,58,76.47059,4.667
2.9,teaching,female,57,70,4.333
4.1,teaching,female,52,62.16216,4.833
3.8,teaching,female,52,75.75758,2.333
3.1,tenured,male,52,90.2439,3.167
3,tenure track,female,33,82.35294,4.167
3.5,teaching,female,50,95.83334,3.167
3.6,tenured,male,49,85.96491,6.5
3.7,tenured,male,52,91.01124,3.167
3.2,tenure track,female,60,85.18519,4.333
4.6,tenured,female,38,76.1194,6.5
3.5,teaching,female,57,45.45454,4.333
3.6,teaching,female,52,67,2.333
4,tenure track,male,42,100,4
4.6,tenured,male,51,64.2487,6.167
4.6,teaching,male,45,70.58823,3.333
4.1,tenure track,female,42,81.81818,5.333
4.8,teaching,male,58,100,7.833
4.3,tenured,female,40,85,3.167
3.2,tenure track,male,35,57.89474,3.667
4.6,teaching,male,45,73.07692,3.333
