"Order","Price","LotFrontage","LotArea","LotConfig","HouseStyle","Quality","Condition","YearBuilt","YearRemodel","ExteriorQ","ExteriorC","Foundation","BasementHt","BasementC","BasementFin","BasementFinSF","BasementUnFinSF","BasementSF","Heating","HeatingQC","CentralAir","FirstSF","SecondSF","GroundSF","BasementFBath","BasementHBath","FullBath","HalfBath","Bedroom","KitchenQ","TotalRooms","Fireplaces","GarageType","GarageCars","GarageSF","GarageQ","GarageC","WoodDeckSF","OpenPorchSF","EnclosedPorchSF","ScreenPorchSF"
792,154.4,50,9350,"Inside","2Story",6,7,1946,1950,"TA","TA","CBlock","TA","TA","BLQ",342,405,747,"GasA","Ex","Y",892,747,1639,0,0,1,1,3,"Gd",6,1,"Detchd",1,240,"TA","TA",0,50,0,0
2083,150,42,7711,"Inside","1Story",4,3,1977,1977,"TA","TA","PConc","Gd","TA","GLQ",1440,0,1440,"GasA","TA","Y",1440,0,1440,2,0,2,0,4,"TA",8,0,"None",0,0,"None","None",321,0,0,0
880,293.2,85,10200,"Inside","1Story",8,5,2007,2007,"Gd","TA","PConc","Gd","TA","GLQ",1478,100,1578,"GasA","Ex","Y",1602,0,1602,1,0,2,0,3,"Gd",7,1,"Attchd",3,810,"TA","TA",0,48,0,195
1977,89.5,56,4480,"Corner","1Story",5,5,1922,1950,"TA","TA","PConc","Fa","Fa","LwQ",782,240,1022,"GasA","TA","N",1022,0,1022,1,0,1,0,2,"Fa",4,1,"Detchd",1,184,"TA","Fa",0,122,20,0
2820,127.5,38,7840,"CulDSac","SFoyer",6,5,1975,1975,"TA","TA","CBlock","Gd","TA","GLQ",976,0,976,"GasA","TA","Y",1012,0,1012,0,2,2,0,4,"TA",4,0,"None",0,0,"None","None",0,0,0,0
676,133,60,12144,"Inside","1Story",5,7,1949,1950,"Gd","TA","CBlock","TA","TA","Rec",375,457,832,"GasA","Gd","Y",1036,0,1268,0,0,1,0,3,"TA",6,1,"Attchd",1,288,"TA","TA",0,28,0,0
2772,193,0,8685,"CulDSac","1Story",7,5,1998,1998,"TA","TA","PConc","Gd","TA","GLQ",846,579,1425,"GasA","Ex","Y",1425,0,1425,1,0,2,0,3,"TA",5,0,"Attchd",2,591,"TA","TA",0,130,0,0
2801,274.3,75,9750,"Corner","2Story",7,6,1998,1998,"TA","TA","PConc","Gd","TA","GLQ",975,133,1108,"GasA","Ex","Y",1108,989,2097,1,0,2,1,3,"Gd",8,1,"Detchd",2,583,"TA","TA",253,170,0,0
907,159.434,55,4500,"Inside","1.5Fin",5,5,1932,2000,"TA","TA","BrkTil","TA","TA","Rec",182,611,793,"GasA","Ex","Y",848,672,1520,0,0,1,0,3,"TA",6,0,"Detchd",1,281,"TA","TA",0,0,56,0
707,93,50,6000,"Inside","1.5Fin",5,4,1954,1954,"TA","TA","CBlock","TA","TA","Unf",0,811,811,"GasA","TA","Y",811,576,1387,0,0,2,0,3,"Gd",7,0,"BuiltIn",1,256,"TA","TA",0,0,0,0
2285,134,44,4224,"Inside","1Story",5,5,1976,1976,"TA","TA","PConc","Gd","TA","ALQ",874,268,1142,"GasA","TA","Y",1142,0,1142,1,0,1,1,3,"TA",6,1,"Attchd",2,528,"TA","TA",536,90,0,0
2324,183.5,0,8076,"Inside","1Story",6,6,1993,1994,"TA","TA","PConc","Gd","TA","GLQ",705,455,1160,"GasA","Gd","Y",1169,0,1169,0,1,2,0,3,"TA",6,1,"Attchd",2,402,"TA","TA",0,26,0,144
2000,152,40,5400,"Corner","1Story",6,7,1926,2004,"TA","Gd","BrkTil","TA","TA","LwQ",370,779,1149,"GasA","Gd","Y",1149,467,1616,0,0,2,0,3,"Gd",5,0,"Detchd",1,216,"TA","TA",0,0,183,0
262,128.2,75,10650,"Corner","1Story",5,6,1976,1976,"TA","TA","CBlock","TA","Gd","LwQ",182,0,894,"GasA","TA","Y",894,0,894,1,0,1,0,3,"TA",5,0,"Attchd",1,308,"TA","TA",365,0,0,0
2063,143.5,71,8197,"Inside","1Story",6,5,1977,1977,"TA","TA","CBlock","TA","TA","Unf",0,660,660,"GasA","Ex","Y",1285,0,1285,0,0,1,1,3,"TA",7,1,"Attchd",2,528,"TA","TA",138,0,0,0
1425,248.5,65,9345,"Inside","1Story",8,5,2007,2007,"Gd","TA","PConc","Gd","TA","Unf",0,1615,1615,"GasA","Ex","Y",1615,0,1615,0,0,2,0,3,"Gd",7,1,"Attchd",3,864,"TA","TA",168,30,0,0
144,148,73,8760,"Inside","1Story",6,6,1959,1959,"TA","TA","CBlock","TA","TA","Unf",0,1194,1194,"GasA","TA","Y",1194,0,1194,1,0,1,0,3,"TA",6,0,"Attchd",1,312,"TA","TA",0,0,120,0
2608,159.95,85,13400,"Inside","SLvl",5,5,1966,1966,"TA","TA","CBlock","TA","TA","ALQ",516,380,1024,"GasA","TA","Y",1086,0,1086,1,0,1,0,3,"TA",6,1,"Attchd",2,484,"TA","TA",0,0,0,0
2679,88,51,6120,"Inside","1Story",5,7,1925,1950,"TA","TA","BrkTil","TA","TA","Rec",489,279,768,"GasA","TA","N",1015,0,1015,0,0,1,0,3,"TA",6,0,"Detchd",1,450,"TA","TA",0,0,112,120
1684,129.25,65,7150,"Inside","1Story",5,6,1966,1966,"TA","TA","CBlock","TA","TA","BLQ",725,263,988,"GasA","TA","Y",988,0,988,1,0,1,0,3,"TA",5,0,"Detchd",1,360,"TA","TA",0,0,0,0
200,138.4,52,6240,"Inside","1.5Fin",5,5,1930,1950,"TA","TA","BrkTil","TA","TA","LwQ",448,480,928,"GasA","TA","Y",928,608,1536,0,0,2,0,4,"TA",7,1,"Detchd",2,480,"TA","TA",0,10,0,0
1009,189,40,4671,"Inside","1Story",8,5,1988,1989,"Gd","TA","PConc","Gd","TA","GLQ",767,461,1228,"GasA","Gd","Y",1228,0,1228,1,0,2,0,2,"Gd",5,1,"Attchd",2,472,"TA","TA",168,120,0,0
2790,255,90,11367,"Corner","2Story",8,5,2002,2002,"Gd","TA","PConc","Gd","TA","GLQ",932,133,1065,"GasA","Ex","Y",1091,898,1989,1,0,2,1,3,"Gd",7,1,"Attchd",2,586,"TA","TA",199,60,0,0
35,120,24,2280,"FR2","1Story",7,6,1975,1975,"TA","TA","CBlock","Gd","TA","Unf",0,836,836,"GasA","Ex","Y",836,0,836,0,0,1,0,2,"TA",4,0,"Attchd",1,308,"TA","TA",0,30,0,0
2577,162,0,9610,"Corner","1Story",6,6,1958,1958,"TA","TA","CBlock","TA","TA","Rec",203,918,1121,"GasA","Ex","Y",1336,0,1336,0,0,1,1,3,"TA",7,1,"Attchd",2,488,"TA","TA",80,0,0,0
304,110,50,9140,"Inside","1.5Fin",6,5,1921,1975,"TA","TA","BrkTil","TA","TA","BLQ",308,321,629,"GasA","Fa","Y",727,380,1107,0,0,1,0,2,"TA",5,0,"Detchd",1,625,"TA","TA",0,56,0,200
1870,255,78,10530,"Inside","2Story",7,6,1993,1993,"Gd","TA","PConc","Gd","TA","GLQ",819,329,1148,"GasA","Ex","Y",1091,984,2075,1,0,2,1,3,"Gd",8,1,"Attchd",2,473,"TA","TA",235,86,0,0
610,177.5,0,8970,"Corner","2Story",5,6,1965,1965,"TA","Gd","CBlock","TA","TA","ALQ",388,356,744,"GasA","TA","Y",825,1315,2140,0,0,2,1,4,"TA",7,1,"Attchd",2,549,"TA","TA",0,40,264,0
2746,91.5,50,7585,"Inside","1.5Fin",5,3,1948,1950,"TA","TA","CBlock","Fa","Fa","Unf",0,810,810,"GasA","Fa","Y",1002,454,1456,1,1,1,0,4,"TA",7,1,"Detchd",1,280,"TA","TA",0,0,0,0
846,200,70,8750,"Inside","2Story",6,5,1998,1998,"TA","TA","PConc","Gd","TA","GLQ",606,322,928,"GasA","Ex","Y",928,844,1772,1,0,2,1,3,"TA",7,1,"Attchd",2,492,"TA","TA",150,96,0,0
1489,147.5,75,9937,"Inside","1Story",5,6,1965,1965,"Gd","TA","CBlock","TA","TA","BLQ",830,136,1256,"GasA","Gd","Y",1256,0,1256,1,0,1,1,3,"TA",6,0,"Attchd",1,276,"TA","TA",736,68,0,0
2005,110,76,11800,"Inside","SLvl",4,7,1949,2002,"TA","TA","Slab","None","None","None",0,0,0,"GasA","Ex","Y",1382,0,1382,0,0,2,0,1,"TA",6,1,"Attchd",1,384,"TA","TA",0,40,0,0
2445,300,83,9545,"Corner","2Story",8,5,2000,2000,"Gd","TA","PConc","Gd","TA","GLQ",505,655,1160,"GasA","Ex","Y",1205,1029,2234,1,0,2,1,3,"Gd",7,1,"BuiltIn",3,768,"TA","TA",0,50,0,0
669,163,77,11500,"Inside","1Story",6,4,1967,1967,"Fa","TA","CBlock","TA","Fa","BLQ",872,108,1040,"GasA","Gd","Y",1040,0,1040,1,0,1,0,3,"TA",6,1,"Attchd",2,480,"TA","TA",0,0,156,0
110,230,80,8000,"Inside","1Story",7,5,2002,2002,"Gd","TA","PConc","Gd","TA","GLQ",833,659,1492,"GasA","Ex","Y",1492,0,1492,1,0,2,0,3,"Gd",6,1,"Attchd",2,596,"TA","TA",277,137,0,0
324,173.5,93,10114,"Inside","1Story",5,5,2004,2005,"TA","TA","PConc","Ex","TA","Unf",0,1430,1430,"GasA","Ex","Y",1430,0,1430,0,0,2,0,3,"Gd",7,0,"Attchd",2,624,"TA","TA",0,0,0,0
17,164,152,12134,"Inside","1.5Fin",8,7,1988,2005,"Gd","TA","Wood","Gd","TA","GLQ",427,132,559,"GasA","Gd","Y",1080,672,1752,0,0,2,0,4,"TA",8,0,"Basment",2,492,"TA","TA",325,12,0,0
2397,281,86,11065,"Inside","2Story",8,5,2006,2006,"Gd","TA","PConc","Gd","TA","Unf",0,1085,1085,"GasA","Ex","Y",1120,850,1970,0,0,2,1,3,"Ex",8,1,"BuiltIn",3,753,"TA","TA",177,74,0,0
2241,152,75,13710,"Inside","1.5Fin",5,5,1950,1950,"TA","TA","CBlock","TA","TA","BLQ",420,490,910,"GasA","TA","Y",910,648,1558,0,0,1,1,4,"TA",6,0,"Attchd",1,282,"TA","TA",289,0,0,0
