county,year,crmrte,avgsen,polpc,density,taxpc,wcon,wtuc,wtrd,wfir,wser,wmfg,wfed,wsta,wloc,mix,pctymle
1,81,0.0398849,5.61,0.0017868,2.307159,25.69763,206.4803,333.6209,182.333,272.4492,215.7335,229.12,409.37,236.24,231.47,0.0999179,0.0876968
3,81,0.0163921,8.45,0.0005939,0.976834,14.56088,188.7683,292.6422,151.4234,202.4292,191.3742,210.75,381.72,247.38,213.17,0.0561224,0.0870046
5,81,0.0093372,5.53,0.0008209,0.4127659,18.6306,147.929,284.9003,143.5132,200.3205,158.2278,157.24,318.96,233.33,191.98,0.0833333,0.0738525
7,81,0.0219159,6,0.0014327,0.4821764,38.24473,284.5809,307.377,174.2457,207.1006,208.4636,215.57,348.27,206.07,208.75,0.3286385,0.0836378
9,81,0.0075178,7.04,0.0008353,0.5305164,16.85321,195.9361,274.7253,152.7354,209.0301,178.7785,202.04,270.57,234.75,223.57,0.089172,0.079058
11,81,0.0188472,9.93,0.0019067,0.5910931,22.32144,199.2377,315.5048,150.5835,195.3125,176.5392,187.2,266.62,227.69,209.27,0.1843318,0.1063334
13,81,0.0300493,11.77,0.001207,0.4975787,20.10284,192.6931,270.6553,172.9289,230.1118,182.9082,214.93,377.75,247.95,199.33,0.1796644,0.0793392
15,81,0.0168055,8.83,0.0009521,0.3009986,21.63124,192.3077,151.8219,164.6214,253.5926,169.6833,183.17,320,253.39,191.01,0.2473498,0.0905428
17,81,0.0186469,7.93,0.0013272,0.3492605,24.73512,162.6483,279.9416,178.4642,202.4292,161.216,235.61,319.78,226.58,199.03,0.3380952,0.0859525
19,81,0.0225338,9.56,0.0019298,0.4337209,53.86683,207.1006,450.2303,144.7477,211.4724,174.047,419.46,375.85,238.67,205.69,0.2063733,0.0824936
21,81,0.0350348,9.43,0.0018014,2.461305,25.49358,231.9226,346.7627,183.7432,256.5369,217.2891,275.75,381.16,274.2,224.42,0.0740045,0.0795678
23,81,0.0319175,9.45,0.0014249,1.452381,17.68813,194.6529,322.8523,165.6805,248.296,221.4906,243.14,379.31,249.19,226.04,0.0873786,0.0901801
25,81,0.0360686,9.06,0.0015847,2.406593,18.93759,226.2443,280.722,176.687,247.5474,218.8219,224.94,411.14,274.57,242.81,0.0680041,0.0837747
27,81,0.0353349,7.39,0.0013843,1.44586,18.62241,221.0781,325.0545,173.4647,218.8868,209.9971,215.75,368.73,204.43,226.13,0.1379634,0.0887975
33,81,0.020039,16.4,0.0006188,0.4953271,22.2749,192.3077,192.3077,162.6131,192.3077,174.8252,237.59,303.63,264.34,200.84,0.5592592,0.0939623
35,81,0.0414138,11.52,0.0017513,2.694444,26.45751,244.6663,330.9957,208.3428,250.8361,224.0796,243.86,449.07,256.6,226.48,0.1864771,0.0858721
37,81,0.0223026,12.26,0.0010886,0.480226,18.73018,184.6154,295.0569,166.8613,213.6752,160.9624,230.23,363.12,264.67,216.28,0.0859599,0.0822112
39,81,0.0158129,10.71,0.0011406,0.4269912,21.25022,197.8474,265.6883,150.1752,208.3333,142.5729,196.67,299.34,226.26,184,0.2398374,0.072731
41,81,0.0365365,13.03,0.0017286,0.6923077,28.29884,181.7081,287.0264,218.1464,226.2443,185.9168,223.07,397.22,243.2,212.67,0.1071429,0.0780852
45,81,0.0344852,10.99,0.0011571,1.790598,21.06336,192.8289,333.5226,192.9485,231.8393,214.2704,257.31,395.84,246.38,226.33,0.2354701,0.0877566
47,81,0.0319193,8.54,0.0019077,0.5501066,22.28144,208.6357,237.5115,165.2859,246.418,178.3689,279.08,339.65,198.55,216.64,0.100339,0.0858434
49,81,0.0359381,16.89,0.0011919,1.024251,21.0344,234.0786,264.2825,173.2183,237.4169,231.32,244.39,409.71,195.81,228.89,0.1,0.1394802
51,81,0.0630904,12.03,0.0014254,3.7793,24.87787,212.445,278.2625,171.8197,236.3337,197.2247,301.96,329.87,262.07,226.77,0.1146304,0.1624084
53,81,0.0196669,13.22,0.0008859,0.4414063,24.30766,189.9335,186.1042,162.9726,200.3205,160.2564,148.79,258.31,248.56,195.86,0.0471698,0.091046
55,81,0.0397498,7.47,0.0032465,0.3606138,48.84256,209.444,228.0328,139.9271,177.8568,145.2081,206.69,322.12,256.04,215.21,0.0524109,0.0835457
57,81,0.0368013,10.44,0.0013775,2.087591,19.2422,228.1871,303.9702,179.6187,230.1752,204.6954,234.72,395.98,206.78,216.77,0.1012262,0.085526
59,81,0.0183936,8.7,0.0010442,0.9513109,22.16452,173.772,259.4628,196.5027,213.6752,195.178,242.48,373.11,249.16,226.76,0.0853081,0.0794902
61,81,0.0248057,8.94,0.0012501,0.4981685,22.06186,176.4291,251.3826,165.4156,226.7779,176.2305,189.68,350.88,233.23,195.85,0.1035987,0.0861588
63,81,0.0813022,16.18,0.0022306,5.177852,40.77384,240.0165,348.341,184.6374,261.1852,267.1611,407.45,413.11,280.27,232.86,0.0588686,0.1023255
65,81,0.054168,9.62,0.0010269,1.118577,20.51209,254.1097,331.1545,170.8154,229.0813,162.6926,250.33,455.67,239.86,235.54,0.1249048,0.0905425
67,81,0.0619138,10.01,0.0017366,6.002427,29.3821,152.8273,232.0955,151.4687,236.6864,161.0306,198.34,346.68,267.43,207.68,0.1358236,0.0888331
69,81,0.0151278,13.26,0.0010903,0.6153846,18.40199,253.0954,438.1763,199.5898,323.4463,251.9837,379.82,433.75,265.97,261.05,0.1502591,0.095072
71,81,0.0578315,11.54,0.0017899,4.616247,27.81321,220.2218,419.0213,191.1953,238.6206,226.5881,251.27,418.82,251.93,224.59,0.0745475,0.0851048
77,81,0.0321369,7.77,0.0022208,0.6460674,17.48343,182.6386,217.1216,168.3082,211.205,162.422,236.03,427.94,256.49,197.56,0.1271478,0.0938804
79,81,0.018777,7.49,0.0012353,0.6052632,22.11559,179.9924,240.3846,126.8697,183.1502,145.8886,158.23,329.62,248.27,218.9,0.04811,0.0968263
81,81,0.063468,20.52,0.002173,4.904762,22.73241,281.7927,351.6497,240.0835,285.6708,245.0806,306.91,459.83,290.9,237.42,0.1037736,0.0920546
