score,rank,gender,age,cls_perc_eval,bty_avg
4.3,tenured,male,64,53.84615,4.167
3.8,tenured,male,70,34.78261,3
4.2,tenured,female,43,68.62745,3.333
4.2,tenured,female,54,100,6.833
4.6,tenured,male,39,93.33334,5.5
4.7,tenured,male,35,91.30434,4.833
4.7,tenured,male,60,75,3.667
4.6,tenure track,male,42,86.66666,4
4.1,teaching,male,47,84.21053,5.5
4.2,tenured,male,70,53.125,3
4,tenure track,female,47,92.30769,4.333
4.2,tenured,male,49,83.78378,4
4.2,tenure track,female,47,100,4.333
4.8,teaching,male,50,90.90909,3.333
4.5,tenure track,male,43,94.44444,3.5
4,tenured,male,39,48.73418,5.5
4.5,tenured,female,43,92.85714,3.333
3.6,tenure track,female,37,80.76923,5.5
3.5,tenure track,female,37,96.66666,5.5
4.1,teaching,male,48,74.07407,4.333
4.7,tenured,male,64,71.42857,4.167
4.7,tenure track,male,43,84.61539,3.5
3.8,tenure track,female,35,33.33333,7.833
4.2,tenured,male,45,94.5946,4.167
4.5,tenure track,male,33,43.22581,5.833
4.5,tenured,female,43,76.92308,3.333
4,tenured,male,47,74.07407,2.333
4.2,tenure track,male,34,80,6.667
3.7,tenure track,female,47,92.59259,4.333
3.5,tenured,female,43,65.41354,3.333
4,tenured,male,42,60,4.833
4.5,tenure track,male,32,72.94118,6.833
4.5,tenure track,female,47,95.2381,4.333
4.4,tenured,male,45,84.375,4.167
3.6,tenured,male,47,88.23529,2.333
4.4,tenured,male,39,93.10345,5.5
4.7,tenured,male,60,61.53846,3.667
4.2,teaching,male,37,88.23529,4.333
3.8,tenured,male,52,83.33334,4.833
3.8,teaching,male,63,66.66666,4.333
4.2,tenured,male,62,92.30769,3
4.2,tenured,male,45,25.42373,4.167
4.6,tenure track,female,33,59.18367,4.667
4.3,tenured,male,45,45.22613,4.167
4.4,tenure track,male,32,90.90909,3.833
3.8,tenured,male,49,83.33334,4
4.5,tenured,female,43,100,3.333
4.7,tenure track,female,33,90.90909,5.833
4.7,tenured,female,54,77.77778,6.833
4.5,tenure track,male,43,100,3.5
4,tenured,male,62,50.95541,3
4.7,tenured,male,47,66.66666,2.667
4.4,teaching,male,47,93.33334,5.5
4.2,tenure track,female,47,96,4.333
3.8,tenured,male,62,37.19512,3
3.5,tenure track,male,33,92.30769,7
4.7,teaching,male,50,86.36364,3.333
3.8,teaching,male,37,71.42857,4.333
3.4,tenured,female,51,70.14925,5.167
3.5,tenured,female,62,81.48148,3.5
3.8,tenured,male,52,80,4.833
4.6,tenured,male,60,80,3.667
4.6,tenure track,female,33,87.5,4.667
4.4,tenured,male,62,70,3
4.7,tenured,male,62,58.04196,5.5
4.4,teaching,male,48,63.75839,4.333
3.4,tenured,female,43,58.86525,3.333
4.1,tenured,female,51,85.89744,6.333
4.7,teaching,male,50,84,3.333
4.7,tenure track,male,43,60,3.5
4.3,tenured,male,58,47.01987,3.833
3.8,tenured,male,49,51.72414,4
4.6,tenured,male,62,86.66666,3
4.5,tenured,male,62,61.58941,5.5
4.5,tenured,male,60,78.57143,3.667
4.5,tenure track,male,33,70.83334,5.833
4.7,tenure track,male,33,96.77419,7
4,tenure track,female,34,57.5,1.667
4.7,tenure track,male,43,53.57143,3.5
4.5,teaching,female,47,94.11765,6.667
4.6,tenured,male,35,88,4.833
4.2,tenured,male,47,81.25,2.333
3.6,tenured,female,62,56.25,3.5
4.2,teaching,male,37,61.90476,4.333
4.5,tenured,male,62,54.79452,5.5
4.5,tenured,female,51,85,6.333
4.1,tenured,male,47,80.76923,2.333
4.4,teaching,female,38,81.08108,2.5
4.1,teaching,female,47,88.23529,6.667
4.4,tenured,female,43,75.67567,3.333
3.9,tenured,female,43,45.63107,4.167
4.2,tenured,male,52,64.28571,4.833
4.3,teaching,male,63,65.11628,4.333
4.7,tenure track,female,34,76.92308,7.833
4.2,teaching,male,48,60.60606,4.333
4.8,teaching,male,47,83.33334,5.5
4.7,teaching,male,47,58.62069,5.5
4.3,tenured,male,59,87.5,3
4.5,tenure track,male,43,76.92308,3.5
4.1,tenure track,female,34,58.88889,1.667
3.8,tenured,male,58,76.59574,3.833
3.9,tenure track,female,35,39.81482,7.833
4.5,tenure track,female,33,85,4.667
3.6,teaching,female,47,76.19048,6.667
4.5,tenured,male,60,66.66666,3.667
4.6,tenured,female,43,51.42857,3.333
3.3,tenured,female,62,73.68421,3.5
4.6,teaching,male,37,96,4.333
3.8,tenured,male,73,70.58823,3
4,tenured,male,47,81.25,2.333
4.5,tenure track,male,32,60.46511,6.833
