Time,Age,Dominant,Sex,hand_dom,hand_used
18.12,11.906913,0,1,R,L
21.21,16.366872,0,1,R,L
38.12,5.0376454,0,1,R,L
21.34,11.356605,1,0,R,R
26.31,7.5564682,1,1,R,R
39.19,4.5776865,1,1,R,R
32,9.2566735,0,0,R,L
18.63,13.533196,1,0,R,R
40.12,3.7563313,1,0,R,R
28.03,3.7563313,1,0,R,R
25.63,5.779603,1,1,R,R
22,7.1841205,1,0,R,R
24.25,5.0595483,1,1,L,L
19.28,7.192334,1,0,R,R
29.78,5.6016427,1,1,R,R
23.69,7.1266256,1,1,L,L
19.4,9.0622861,1,0,R,R
25.19,7.8795346,1,0,R,R
26.81,9.0924025,1,1,R,R
23,7.2607803,1,0,R,R
30.09,4.9007529,1,1,R,R
19.35,13.927447,1,1,R,R
17.22,12.577687,1,1,R,R
18.53,16.980151,1,1,R,R
21.75,10.368241,1,1,R,R
37.66,4.7173169,1,0,R,R
14.03,12.898015,1,0,R,R
20.78,8.1724846,1,1,R,R
19.16,11.030801,1,0,R,R
30.37,5.1307324,1,0,R,R
33.84,3.3127995,1,0,R,R
23,10.970568,1,0,R,R
24.62,8,1,0,L,L
17.31,11.723477,1,1,R,R
47.13,3.5728953,1,0,R,R
16.53,14.045175,1,0,R,R
19.06,15.638604,1,1,R,R
20.59,11.608487,1,1,R,R
40.43,4.0136893,1,1,R,R
25.56,9.1279945,1,0,R,R
35.16,8.0109514,1,0,R,R
12.47,14.447639,1,0,R,R
25.5,9.0568104,1,1,R,R
36.07,7.8631075,1,0,R,R
27.75,5.5304586,1,0,R,R
28.31,11.077344,0,0,R,L
38.94,6.0835044,1,1,L,L
26.87,13.544148,0,0,R,L
42.38,4.843258,1,1,R,R
33,6.8774812,1,1,R,R
20.07,14.428474,0,0,R,L
25.66,10.160164,0,0,R,L
19.06,16.386037,1,1,R,R
33.07,8.7939767,0,0,R,L
25.94,8.7939767,0,0,R,L
27.59,8.7665982,0,0,R,L
26,6.110883,1,1,R,R
35.34,4.7939767,1,1,L,L
21.09,15.227926,0,1,R,L
20.69,13.859001,0,1,R,L
16.81,15.498973,1,1,R,R
29.28,4.8377823,1,0,L,L
33.62,5.1115674,1,0,R,R
32.75,9.4784394,0,0,R,L
26.28,12.169747,1,1,R,R
25.72,11.712526,1,1,R,R
22.89,9.3497604,1,1,R,R
26.29,7.2635181,1,1,L,L
46.37,9.1471595,0,1,R,L
23.87,13.390828,1,0,R,R
45.31,4.238193,1,1,R,R
29.63,9.4839151,0,0,R,L
18.22,12.320329,0,1,R,L
18.65,13.913758,1,0,R,R
20.34,9.8316222,0,1,R,L
24.34,13.015743,0,0,R,L
28.28,12.851472,0,1,R,L
18.19,12.186174,0,0,R,L
37.47,5.8590007,0,0,R,L
22.16,15.92334,1,0,L,L
17.47,14.847365,1,1,R,R
47,3.2936345,1,0,R,R
30.68,7.3702943,0,0,R,L
15.25,16.563997,1,0,R,R
24.81,11.581109,0,0,R,L
22.25,16.73922,1,0,R,R
22.38,12.676249,0,0,R,L
64.18,4.0164271,1,1,L,L
26.9,10.277892,0,1,R,L
25.84,6.9130732,0,1,L,R
23.97,9.4236824,1,1,R,R
34.97,4.9418207,1,1,R,R
21.87,9.8042437,0,0,R,L
21.56,7.8767967,1,1,R,R
20.75,12.150582,0,0,R,L
14.88,16.596851,1,0,R,R
21.9,10.759754,1,0,R,R
44.75,8.6324435,0,0,R,L
26.84,15.362081,0,0,R,L
16.54,15.509925,1,0,L,L
19.4,13.979466,0,0,R,L
20.37,9.1800137,1,0,L,L
27.46,7.0882957,0,0,R,L
28.19,5.9192334,0,0,R,L
72.37,3.0581793,0,0,R,L
21.44,7.835729,1,1,R,R
41.01,4.4462697,1,0,R,R
19.57,13.316906,1,0,R,R
25.38,10.28063,1,1,R,R
48.25,3.4004107,1,1,R,R
32.56,5.0239562,1,1,R,R
17.19,16.780287,0,0,R ,L 
21.5,15.991786,1,0,R,R
34.5,7.3292266,1,0,R,R
15.69,16.783025,1,0,R,R
15.97,16.889802,0,1,R,L
18.34,14.918549,0,0,R,L
18.53,16.903491,0,0,L ,R
22.28,16.963723,1,1,R,R
18.91,15.655031,0,0,R,L
25.16,5.3004791,1,0,L,L
44.06,4.7392197,0,1,R,L
24.25,10.732375,0,0,R,L
18.12,15.575633,1,0,R,R
20.75,15.060917,0,0,R,L
23.1,12.72553,0,0,R,L
20.97,10.30527,0,0,R,L
21.53,13.180014,0,1,R,L
14.28,15.841205,1,0,R,R
19.88,15.211499,1,0,L,L
23.09,15.271732,1,0,R,R
18.66,11.310062,1,1,R,R
21.97,14.543463,0,0,R,L
18.72,15.225188,0,1,R,L
22.91,10.209446,1,0,L,L
19,13.524983,0,1,R,L
20.81,12.027379,0,1,R,L
19.47,10.083504,0,0,R,L
19.25,10.86653,1,1,R,R
26.1,11.605749,0,0,L,R
23.9,10.787132,0,0,R,L
23.72,8.6351814,0,1,R,L
24.09,7.2498289,1,0,R,R
24.74,9.6208077,1,0,R,R
30.41,6.587269,0,0,R,L
22.63,9.5906913,1,1,R,R
35.87,7.7809719,0,1,R,L
25.88,6.661191,1,1,R,R
24.38,9.119781,0,1,L,R
21.56,8.4736482,1,1,R,R
19.34,12.314853,1,1,R,R
24.88,10.346338,0,1,R,L
22.59,9.6290212,1,1,R,R
19.66,13.160849,1,1,R,R
24.06,9.7905544,1,1,R,R
19.94,9.9603012,0,1,L,R
22.81,11.926078,0,1,R,L
19.87,9.3853525,0,1,R,L
25.15,9.2402464,0,1,R,L
20.84,8.7036277,1,1,R,R
24.84,7.8576318,1,1,R,R
21.84,10.119097,1,1,R,R
43.97,8.4353183,0,1,R,L
30,6.6858316,0,1,R,L
33.43,6.770705,1,1,R,R
20.1,9.7686516,1,1,R,R
27.57,6.4722793,1,0,R,R
42.63,6.0232717,0,1,R,L
33.13,6.7542779,0,0,R,L
27.5,6.9322382,1,1,R,R
40.16,6.1218344,0,0,R,L
36.75,6.2286105,0,1,R,L
29.63,6.1300479,1,1,R,R
31.84,6.2450376,0,0,R,L
