"la_stud","sex","nonwhite","first.gen","finaid_ever","act_new","hs_gpa","credits_entry","grade","fail"
0,1,0,0,0,23,3.615,0,2,0
1,1,0,1,0,27,4,6,4,0
0,1,0,0,1,28,3.858,18,2.7,0
1,0,0,0,0,25,4,3,4,0
1,0,0,0,1,27,3.72,0,4,0
0,0,0,0,0,23,3.512,0,1.7,0
0,0,0,0,0,25,4,36,3.7,0
0,1,0,0,1,30,4,30,2.3,0
1,0,0,0,0,33,4,0,4,0
1,0,0,0,0,25,3.11,0,2,0
1,0,1,0,0,23,3.52,0,1.7,0
1,0,1,0,0,29,3.208,0,2,0
1,1,0,0,0,26,3.917,5,4,0
0,0,0,0,0,24,4,0,4,0
0,0,0,0,1,24,4,0,3,0
1,0,0,0,0,29,3.726,28,2.7,0
1,1,0,0,1,29,3.912,6,3.3,0
1,1,0,1,1,27,3.366,0,2.7,0
1,0,0,0,1,23,3.48,0,0,1
1,0,0,0,0,26,3.731,0,3.7,0
1,1,0,0,1,21,4,0,3.3,0
0,1,0,0,0,24,3.244,0,3,0
1,0,1,0,0,28,2.986,0,1,1
0,1,1,0,1,27,3.65,7,2,0
0,1,0,0,1,28,3.857,8,4,0
1,1,0,0,0,24,3.849,6,3.3,0
1,1,1,0,1,32,4,0,4,0
1,1,0,1,1,22,3.274,28,2,0
1,0,0,0,0,24,3.463,0,0.7,1
0,0,1,1,1,22,3.444,0,3.3,0
0,0,1,0,1,24,3.45,0,0,1
1,1,0,0,1,32,2.916,11,3,0
1,1,1,0,0,24,3.6,0,2,0
0,1,1,1,1,23,3.324,0,2,0
0,1,0,0,0,26,3.833,0,3.7,0
1,0,0,0,0,28,4,0,3.7,0
1,1,0,0,1,28,3.495,8,2.7,0
0,1,0,0,0,23,3.629,0,3,0
1,0,0,0,0,31,4,12,4,0
1,0,0,0,0,31,3.15,0,0,1
1,1,0,0,1,25,3.123,0,1.7,0
0,0,0,1,1,27,3.94,7,3.3,0
0,0,0,0,1,25,3.375,0,3,0
1,1,0,0,0,29,3.814,3,4,0
1,1,0,0,0,31,3.389,3,1,1
1,0,1,1,1,27,3.116,0,0,1
