name,sex,ethnicity,quality,call,experience,equal
Allison,female,cauc,low,0,6,yes
Kristen,female,cauc,high,0,6,yes
Lakisha,female,afam,low,0,6,yes
Latonya,female,afam,high,0,6,yes
Carrie,female,cauc,high,0,22,yes
Jay,male,cauc,low,0,6,yes
Jill,female,cauc,high,0,5,yes
Kenya,female,afam,high,0,21,yes
Latonya,female,afam,low,0,3,yes
Tyrone,male,afam,high,0,6,yes
Aisha,female,afam,high,0,8,yes
Allison,female,cauc,high,0,8,yes
Aisha,female,afam,low,0,4,yes
Carrie,female,cauc,low,0,4,yes
Aisha,female,afam,high,0,5,yes
Geoffrey,male,cauc,low,0,4,yes
Matthew,male,cauc,high,0,5,yes
Tamika,female,afam,low,0,6,yes
Jill,female,cauc,high,0,6,no
Latonya,female,afam,low,0,8,no
Leroy,male,afam,high,0,4,no
Todd,male,cauc,low,0,3,no
Allison,female,cauc,low,0,2,no
Carrie,female,cauc,low,0,7,no
Greg,male,cauc,high,0,3,no
Keisha,female,afam,low,0,6,no
Keisha,female,afam,high,0,4,no
Kristen,female,cauc,high,0,6,no
Lakisha,female,afam,high,0,7,no
Tamika,female,afam,low,0,2,no
Allison,female,cauc,low,0,6,no
Keisha,female,afam,low,0,6,no
Kristen,female,cauc,high,0,9,no
Latonya,female,afam,high,0,6,no
Brad,male,cauc,low,0,4,no
Jill,female,cauc,high,0,5,yes
Keisha,female,afam,low,0,4,yes
Keisha,female,afam,low,0,3,no
Lakisha,female,afam,high,0,4,yes
Laurie,female,cauc,high,0,5,no
Meredith,female,cauc,low,0,5,yes
Tyrone,male,afam,high,0,5,no
Anne,female,cauc,high,0,7,no
Emily,female,cauc,low,0,6,no
Latoya,female,afam,low,0,5,no
Tamika,female,afam,high,0,7,no
Brad,male,cauc,high,0,4,no
Latoya,female,afam,high,0,5,no
Kristen,female,cauc,low,0,4,no
Latonya,female,afam,high,0,5,no
Latoya,female,afam,low,0,6,no
Laurie,female,cauc,high,0,6,no
Allison,female,cauc,low,0,13,no
Ebony,female,afam,low,0,19,no
Jay,male,cauc,high,0,5,no
Keisha,female,afam,high,0,7,no
Laurie,female,cauc,high,0,21,no
Tyrone,male,afam,high,0,5,no
Anne,female,cauc,low,0,4,yes
Lakisha,female,afam,high,0,5,yes
Latonya,female,afam,low,0,6,yes
Meredith,female,cauc,high,0,5,yes
Allison,female,cauc,high,0,5,no
Carrie,female,cauc,low,0,6,yes
Ebony,female,afam,high,0,6,no
Kenya,female,afam,low,0,6,yes
Lakisha,female,afam,high,0,6,yes
Laurie,female,cauc,high,0,4,yes
Aisha,female,afam,high,0,8,no
Anne,female,cauc,low,0,5,no
Brendan,male,cauc,high,0,5,yes
Hakim,male,afam,high,0,5,yes
Latoya,female,afam,low,0,6,no
Laurie,female,cauc,low,0,5,yes
Laurie,female,cauc,high,0,3,no
Leroy,male,afam,low,0,4,yes
Anne,female,cauc,high,0,12,yes
Kenya,female,afam,high,0,11,yes
Latonya,female,afam,low,0,9,yes
Meredith,female,cauc,low,0,10,yes
Jamal,male,afam,low,0,5,no
Matthew,male,cauc,high,0,4,no
Neil,male,cauc,low,0,4,no
Tyrone,male,afam,high,0,3,no
Leroy,male,afam,high,0,4,no
Todd,male,cauc,high,1,7,no
Brad,male,cauc,low,0,3,no
Ebony,female,afam,low,0,3,yes
Jill,female,cauc,low,0,2,yes
Kristen,female,cauc,high,0,4,yes
Lakisha,female,afam,high,0,4,no
Matthew,male,cauc,high,0,4,no
Tamika,female,afam,high,0,4,yes
Tremayne,male,afam,low,0,2,no
Aisha,female,afam,high,0,10,yes
Brett,male,cauc,high,1,4,no
Darnell,male,afam,high,0,5,no
Emily,female,cauc,high,0,11,yes
Latonya,female,afam,low,0,3,yes
Sarah,female,cauc,low,0,2,yes
Aisha,female,afam,high,0,7,yes
Anne,female,cauc,high,0,7,yes
Jermaine,male,afam,high,0,4,no
Neil,male,cauc,high,0,4,no
Allison,female,cauc,high,0,4,no
Anne,female,cauc,high,1,6,yes
Keisha,female,afam,high,0,6,no
Latonya,female,afam,high,1,6,yes
Latonya,female,afam,high,0,6,no
Laurie,female,cauc,high,0,6,no
Jay,male,cauc,high,0,6,yes
Lakisha,female,afam,high,0,4,yes
Anne,female,cauc,low,0,23,yes
Keisha,female,afam,low,0,5,yes
Kristen,female,cauc,high,0,4,yes
Lakisha,female,afam,high,0,4,yes
Allison,female,cauc,high,0,5,yes
Ebony,female,afam,high,0,5,yes
Keisha,female,afam,low,0,5,yes
Kristen,female,cauc,low,0,1,yes
Lakisha,female,afam,low,0,5,yes
Meredith,female,cauc,low,0,5,yes
Allison,female,cauc,low,0,5,no
Kristen,female,cauc,high,0,8,no
Lakisha,female,afam,low,0,4,no
Lakisha,female,afam,high,0,9,no
Tanisha,female,afam,high,1,9,no
Todd,male,cauc,high,1,5,no
Aisha,female,afam,high,0,6,yes
Anne,female,cauc,high,0,8,yes
Jill,female,cauc,low,0,9,yes
Latoya,female,afam,high,0,9,yes
Neil,male,cauc,high,0,5,yes
Tamika,female,afam,low,0,10,yes
Anne,female,cauc,high,0,8,no
Geoffrey,male,cauc,high,0,6,no
Latoya,female,afam,high,0,5,no
Rasheed,male,afam,high,0,4,no
Aisha,female,afam,low,0,6,yes
Allison,female,cauc,high,0,4,yes
Carrie,female,cauc,low,0,6,yes
Ebony,female,afam,low,0,4,no
Kenya,female,afam,high,0,5,yes
Kristen,female,cauc,low,0,4,no
Jermaine,male,afam,low,0,6,no
Laurie,female,cauc,low,0,4,no
Allison,female,cauc,low,0,7,yes
Kristen,female,cauc,high,0,9,yes
Lakisha,female,afam,low,0,7,yes
Latonya,female,afam,high,0,8,yes
Brad,male,cauc,low,0,6,no
Leroy,male,afam,low,0,9,no
Emily,female,cauc,high,0,12,no
Latonya,female,afam,low,0,6,no
Latoya,female,afam,high,0,5,no
Laurie,female,cauc,low,0,7,no
Aisha,female,afam,high,0,14,no
Allison,female,cauc,low,0,12,no
Ebony,female,afam,high,0,7,no
Jermaine,male,afam,low,0,3,no
Kristen,female,cauc,low,0,1,no
Latonya,female,afam,low,0,5,no
Laurie,female,cauc,high,0,21,no
Laurie,female,cauc,high,0,2,no
Anne,female,cauc,low,0,7,no
Brendan,male,cauc,high,1,10,yes
Kareem,male,afam,high,0,10,yes
Keisha,female,afam,high,0,7,no
Matthew,male,cauc,low,1,6,yes
Meredith,female,cauc,high,0,6,no
Tanisha,female,afam,low,0,6,no
Tanisha,female,afam,low,1,11,yes
Aisha,female,afam,high,0,14,yes
Allison,female,cauc,low,0,8,yes
Allison,female,cauc,high,0,18,yes
Anne,female,cauc,low,0,7,no
Brendan,male,cauc,low,0,8,no
Brett,male,cauc,low,0,26,no
Brett,male,cauc,high,0,18,yes
Brett,male,cauc,high,0,6,no
Ebony,female,afam,low,0,6,no
Geoffrey,male,cauc,low,0,26,yes
Jay,male,cauc,high,0,18,yes
Jill,female,cauc,high,0,18,yes
Keisha,female,afam,low,0,8,yes
Keisha,female,afam,high,0,10,no
Kenya,female,afam,low,0,8,yes
Kenya,female,afam,high,0,14,no
Lakisha,female,afam,low,0,26,yes
Latoya,female,afam,low,0,8,no
Latoya,female,afam,high,0,14,yes
Laurie,female,cauc,high,0,18,no
Matthew,male,cauc,low,0,8,yes
Rasheed,male,afam,high,0,14,yes
Sarah,female,cauc,low,0,26,yes
Sarah,female,cauc,high,0,2,no
Tamika,female,afam,low,0,26,yes
Tanisha,female,afam,high,0,14,yes
Tanisha,female,afam,high,0,8,no
Tremayne,male,afam,low,0,10,no
Lakisha,female,afam,high,1,8,yes
Meredith,female,cauc,high,1,8,yes
Anne,female,cauc,low,0,9,no
Latonya,female,afam,high,0,9,no
Sarah,female,cauc,high,0,12,no
Tamika,female,afam,low,0,15,no
Jill,female,cauc,high,0,5,no
Keisha,female,afam,low,0,11,no
Lakisha,female,afam,high,0,3,no
Meredith,female,cauc,low,0,6,no
Jill,female,cauc,high,1,4,no
Keisha,female,afam,low,0,5,no
Lakisha,female,afam,high,0,4,no
Meredith,female,cauc,low,0,6,no
Carrie,female,cauc,low,0,7,no
Greg,male,cauc,high,0,3,no
Kenya,female,afam,low,0,3,no
Tremayne,male,afam,high,0,4,no
Kenya,female,afam,low,0,4,no
Neil,male,cauc,low,0,7,no
Emily,female,cauc,high,0,11,no
Jill,female,cauc,low,0,10,no
Latonya,female,afam,low,0,12,no
Tanisha,female,afam,high,0,10,no
Ebony,female,afam,low,0,5,no
Kristen,female,cauc,high,0,5,no
Latonya,female,afam,high,0,6,no
Laurie,female,cauc,low,0,5,no
Anne,female,cauc,low,0,4,no
Emily,female,cauc,high,0,6,no
Keisha,female,afam,low,0,25,no
Tanisha,female,afam,high,0,21,no
Allison,female,cauc,high,0,6,no
Kristen,female,cauc,low,0,6,no
Latonya,female,afam,low,0,4,no
Tanisha,female,afam,high,0,5,no
Aisha,female,afam,low,0,9,no
Allison,female,cauc,low,0,4,no
Anne,female,cauc,low,0,5,no
Latonya,female,afam,low,0,5,no
Latoya,female,afam,high,0,4,no
Sarah,female,cauc,high,0,4,no
