"game_id","nickname","total_turns","first_five_turns_points","max_points_turn","min_points_turn","max_min_difference","first","time_control_name","game_end_reason","winner","created_at","lexicon","initial_time_seconds","increment_seconds","rating_mode","max_overtime_minutes","game_duration_seconds","time_used"
67871,"Anita",13,91,92,7,85,"Anita","regular","STANDARD",0,2022-08-08 16:22:30,"NWL20",1200,0,"RATED",1,338.657911062241,0.282214925885201
66600,"Anita",14,106,85,5,80,"BetterBot","regular","STANDARD",1,2022-09-04 19:31:14,"NWL20",1200,0,"RATED",1,357.802018880844,0.29816834906737
17187,"Anita",12,190,82,0,82,"Anita","regular","STANDARD",0,2022-08-07 17:00:40,"NWL20",1200,0,"RATED",1,292.912267923355,0.244093556602796
41224,"Anita",12,162,80,9,71,"Anita","regular","STANDARD",1,2022-08-08 16:35:10,"NWL20",1200,0,"RATED",1,456.381958961487,0.380318299134572
17105,"Anita",17,77,81,0,81,"Anita","regular","STANDARD",0,2022-08-15 15:55:40,"NWL20",1200,0,"RATED",1,378.905623197556,0.315754685997963
59798,"Anita",12,127,96,7,89,"Anita","regular","STANDARD",1,2022-09-08 12:36:50,"NWL20",1200,0,"RATED",1,305.779356002808,0.25481613000234
28079,"Anita",14,51,40,-10,50,"STEEBot","regular","STANDARD",0,2022-08-27 23:37:35,"NWL20",1200,0,"RATED",1,358.843362092972,0.299036135077477
31948,"Anita",16,67,84,4,80,"BetterBot","regular","STANDARD",1,2022-08-24 21:03:56,"NWL20",1200,0,"RATED",1,364.615783929825,0.303846486608188
54621,"Anita",15,104,51,-51,102,"BetterBot","regular","STANDARD",0,2022-09-05 18:34:36,"NWL20",1200,0,"RATED",1,250.610049962997,0.208841708302498
51312,"Anita",15,79,122,0,122,"Anita","regular","STANDARD",1,2022-08-29 15:39:04,"NWL20",1200,0,"RATED",1,328.525983095169,0.273771652579308
34229,"Anita",13,75,93,6,87,"STEEBot","regular","STANDARD",0,2022-09-19 00:27:29,"NWL20",1200,0,"RATED",1,483.930986881256,0.403275822401047
60120,"Anita",16,87,82,0,82,"Anita","regular","STANDARD",1,2022-09-05 19:13:28,"NWL20",1200,0,"RATED",1,388.665245056152,0.32388770421346
17729,"Anita",13,163,86,5,81,"Anita","regular","STANDARD",0,2022-08-10 20:45:19,"NWL20",1200,0,"RATED",1,310.965305089951,0.259137754241626
38506,"Anita",12,157,84,5,79,"Anita","regular","STANDARD",0,2022-08-31 17:58:43,"NWL20",1200,0,"RATED",1,413.852631092072,0.344877192576727
16204,"Anita",16,85,67,0,67,"Anita","regular","STANDARD",0,2022-09-01 16:24:33,"NWL20",1200,0,"RATED",1,322.130791902542,0.268442326585452
23690,"Anita",16,44,80,0,80,"Anita","regular","STANDARD",0,2022-09-10 13:53:55,"NWL20",1200,0,"RATED",1,313.282245159149,0.261068537632624
5485,"Anita",13,149,83,0,83,"Anita","regular","STANDARD",0,2022-08-10 20:34:06,"NWL20",1200,0,"RATED",1,245.960670948029,0.204967225790024
21716,"Anita",17,72,90,-65,155,"BetterBot","regular","STANDARD",0,2022-08-15 15:48:40,"NWL20",1200,0,"RATED",1,415.471596002579,0.346226330002149
47702,"Anita",14,85,88,6,82,"Anita","regular","STANDARD",1,2022-08-14 16:14:12,"NWL20",1200,0,"RATED",1,301.240117073059,0.251033430894216
70071,"Anita",14,102,82,4,78,"STEEBot","regular","STANDARD",0,2022-08-21 20:39:42,"NWL20",1200,0,"RATED",1,461.255799055099,0.384379832545916
5727,"Anita",15,86,69,2,67,"Anita","regular","STANDARD",0,2022-08-29 17:59:26,"NWL20",1200,0,"RATED",1,355.724712848663,0.296437260707219
17372,"Anita",14,127,71,-21,92,"STEEBot","regular","STANDARD",0,2022-09-05 19:30:13,"NWL20",1200,0,"RATED",1,272.771155118942,0.227309295932452
72348,"Anita",14,82,85,0,85,"Anita","regular","STANDARD",1,2022-09-04 17:45:40,"NWL20",1200,0,"RATED",1,312.474431991577,0.260395359992981
33543,"Anita",12,170,81,4,77,"Anita","regular","STANDARD",0,2022-09-10 13:29:18,"NWL20",1200,0,"RATED",1,385.071063041687,0.320892552534739
23717,"Anita",13,92,68,0,68,"Anita","regular","STANDARD",0,2022-09-07 14:55:57,"NWL20",1200,0,"RATED",1,264.5869140625,0.220489095052083
60422,"Anita",14,109,66,4,62,"BetterBot","regular","STANDARD",0,2022-09-12 17:00:55,"NWL20",1200,0,"RATED",1,305.756007194519,0.254796672662099
115,"Anita",16,81,50,2,48,"STEEBot","regular","STANDARD",0,2022-08-31 17:52:52,"NWL20",1200,0,"RATED",1,348.405784130096,0.290338153441747
23838,"Anita",13,143,59,0,59,"Anita","regular","STANDARD",0,2022-08-21 21:49:23,"NWL20",1200,0,"RATED",1,336.758145093918,0.280631787578265
30337,"Anita",12,109,65,10,55,"STEEBot","regular","STANDARD",0,2022-09-05 19:08:28,"NWL20",1200,0,"RATED",1,299.159209012985,0.249299340844154
7839,"Anita",13,296,75,-13,88,"Anita","regular","STANDARD",1,2022-07-31 13:29:58,"NWL20",1200,0,"RATED",1,285.277200937271,0.237731000781059
14881,"Anita",12,133,74,15,59,"BetterBot","regular","STANDARD",1,2022-09-17 16:51:45,"NWL20",1200,0,"RATED",1,330.23345208168,0.2751945434014
20451,"Anita",13,105,42,6,36,"Anita","regular","STANDARD",0,2022-08-28 16:15:07,"NWL20",1200,0,"RATED",1,247.296998977661,0.206080832481384
38641,"Anita",16,118,70,-70,140,"Anita","regular","STANDARD",0,2022-09-17 15:48:11,"NWL20",1200,0,"RATED",1,362.932311058044,0.30244359254837
59789,"Anita",15,93,50,0,50,"Anita","regular","STANDARD",0,2022-09-21 13:18:19,"NWL20",1200,0,"RATED",1,361.984223842621,0.301653519868851
11171,"Anita",14,130,76,2,74,"STEEBot","regular","STANDARD",0,2022-09-10 13:11:36,"NWL20",1200,0,"RATED",1,338.563092947006,0.282135910789172
64984,"Anita",15,77,78,2,76,"Anita","regular","STANDARD",0,2022-09-10 14:01:25,"NWL20",1200,0,"RATED",1,332.759958028793,0.277299965023994
55365,"Anita",14,111,77,8,69,"STEEBot","regular","STANDARD",1,2022-08-21 21:28:41,"NWL20",1200,0,"RATED",1,393.900792121887,0.328250660101573
65306,"Anita",11,157,76,13,63,"STEEBot","regular","STANDARD",0,2022-08-09 21:44:36,"NWL20",1200,0,"RATED",1,207.341187000275,0.172784322500229
68909,"Anita",15,102,50,0,50,"BetterBot","regular","STANDARD",0,2022-07-31 13:24:47,"NWL20",1200,0,"RATED",1,308.877347946167,0.257397789955139
57370,"Anita",14,56,71,2,69,"STEEBot","regular","STANDARD",0,2022-08-30 16:38:16,"NWL20",1200,0,"RATED",1,660.843410968781,0.550702842473984
