game_id,nickname,total_turns,first_five_turns_points,max_points_turn,min_points_turn,max_min_difference,first,time_control_name,game_end_reason,winner,created_at,lexicon,initial_time_seconds,increment_seconds,rating_mode,max_overtime_minutes,game_duration_seconds,time_used
51788,Eloquent,14,120,72,6,66,Eloquent,regular,STANDARD,1,9/7/2022 1:39,CSW21,1200,0,CASUAL,2,1141.511128,0.951259273
24599,Eloquent,12,144,82,12,70,Eloquent,regular,STANDARD,1,8/1/2022 12:38,CSW21,1200,0,CASUAL,2,360.0782039,0.30006517
33770,Eloquent,12,113,80,12,68,BetterBot,regular,STANDARD,0,9/3/2022 2:26,CSW21,1200,0,CASUAL,2,234.632549,0.195527124
58583,Eloquent,13,171,82,10,72,BetterBot,regular,STANDARD,0,9/3/2022 12:51,CSW21,1200,0,CASUAL,1,233.110477,0.194258731
65,Eloquent,14,173,66,13,53,BetterBot,regular,STANDARD,1,7/31/2022 8:33,CSW21,1200,0,CASUAL,2,335.42994,0.27952495
44777,Eloquent,13,116,70,10,60,BetterBot,regular,STANDARD,1,9/1/2022 8:32,CSW21,1200,0,CASUAL,2,258.466403,0.215388669
44336,Eloquent,14,133,79,6,73,BetterBot,regular,STANDARD,1,7/31/2022 8:14,CSW21,1200,0,CASUAL,2,271.7876348,0.226489696
6356,Eloquent,14,74,99,4,95,BetterBot,regular,STANDARD,1,8/8/2022 8:57,CSW21,1200,0,CASUAL,2,527.4754879,0.439562907
47783,Eloquent,14,135,81,9,72,BetterBot,regular,STANDARD,1,8/31/2022 15:29,CSW21,1200,0,CASUAL,2,321.5700891,0.267975074
32015,Eloquent,14,89,73,2,71,Eloquent,regular,STANDARD,1,9/7/2022 12:17,CSW21,1200,0,CASUAL,2,307.6896641,0.256408053
51716,Eloquent,13,166,88,6,82,BetterBot,regular,STANDARD,1,8/8/2022 8:33,CSW21,1200,0,CASUAL,2,278.4680181,0.232056682
36128,Eloquent,17,167,86,4,82,BetterBot,regular,STANDARD,1,8/29/2022 8:55,CSW21,1200,0,CASUAL,2,407.7622221,0.339801852
21386,Eloquent,15,80,74,2,72,Eloquent,regular,STANDARD,1,8/13/2022 9:19,CSW21,1200,0,CASUAL,2,729.9301541,0.608275128
64496,Eloquent,13,93,86,6,80,Eloquent,regular,STANDARD,1,9/3/2022 12:46,CSW21,1200,0,CASUAL,1,276.9567699,0.230797308
26345,Eloquent,15,131,91,6,85,BetterBot,regular,STANDARD,1,8/2/2022 12:27,CSW21,1200,0,CASUAL,2,222.00488,0.185004067
