game_id,nickname,total_turns,first_five_turns_points,max_points_turn,min_points_turn,max_min_difference,first,time_control_name,game_end_reason,winner,created_at,lexicon,initial_time_seconds,increment_seconds,rating_mode,max_overtime_minutes,game_duration_seconds,time_used
67871,Anita,13,91,92,7,85,Anita,regular,STANDARD,0,8/8/2022 16:22,NWL20,1200,0,RATED,1,338.6579111,0.282214926
66600,Anita,14,106,85,5,80,BetterBot,regular,STANDARD,1,9/4/2022 19:31,NWL20,1200,0,RATED,1,357.8020189,0.298168349
17187,Anita,12,190,82,0,82,Anita,regular,STANDARD,0,8/7/2022 17:00,NWL20,1200,0,RATED,1,292.9122679,0.244093557
41224,Anita,12,162,80,9,71,Anita,regular,STANDARD,1,8/8/2022 16:35,NWL20,1200,0,RATED,1,456.381959,0.380318299
17105,Anita,17,77,81,0,81,Anita,regular,STANDARD,0,8/15/2022 15:55,NWL20,1200,0,RATED,1,378.9056232,0.315754686
59798,Anita,12,127,96,7,89,Anita,regular,STANDARD,1,9/8/2022 12:36,NWL20,1200,0,RATED,1,305.779356,0.25481613
28079,Anita,14,51,40,-10,50,STEEBot,regular,STANDARD,0,8/27/2022 23:37,NWL20,1200,0,RATED,1,358.8433621,0.299036135
31948,Anita,16,67,84,4,80,BetterBot,regular,STANDARD,1,8/24/2022 21:03,NWL20,1200,0,RATED,1,364.6157839,0.303846487
54621,Anita,15,104,51,-51,102,BetterBot,regular,STANDARD,0,9/5/2022 18:34,NWL20,1200,0,RATED,1,250.61005,0.208841708
51312,Anita,15,79,122,0,122,Anita,regular,STANDARD,1,8/29/2022 15:39,NWL20,1200,0,RATED,1,328.5259831,0.273771653
34229,Anita,13,75,93,6,87,STEEBot,regular,STANDARD,0,9/19/2022 0:27,NWL20,1200,0,RATED,1,483.9309869,0.403275822
60120,Anita,16,87,82,0,82,Anita,regular,STANDARD,1,9/5/2022 19:13,NWL20,1200,0,RATED,1,388.6652451,0.323887704
17729,Anita,13,163,86,5,81,Anita,regular,STANDARD,0,8/10/2022 20:45,NWL20,1200,0,RATED,1,310.9653051,0.259137754
38506,Anita,12,157,84,5,79,Anita,regular,STANDARD,0,8/31/2022 17:58,NWL20,1200,0,RATED,1,413.8526311,0.344877193
16204,Anita,16,85,67,0,67,Anita,regular,STANDARD,0,9/1/2022 16:24,NWL20,1200,0,RATED,1,322.1307919,0.268442327
23690,Anita,16,44,80,0,80,Anita,regular,STANDARD,0,9/10/2022 13:53,NWL20,1200,0,RATED,1,313.2822452,0.261068538
5485,Anita,13,149,83,0,83,Anita,regular,STANDARD,0,8/10/2022 20:34,NWL20,1200,0,RATED,1,245.9606709,0.204967226
21716,Anita,17,72,90,-65,155,BetterBot,regular,STANDARD,0,8/15/2022 15:48,NWL20,1200,0,RATED,1,415.471596,0.34622633
47702,Anita,14,85,88,6,82,Anita,regular,STANDARD,1,8/14/2022 16:14,NWL20,1200,0,RATED,1,301.2401171,0.251033431
70071,Anita,14,102,82,4,78,STEEBot,regular,STANDARD,0,8/21/2022 20:39,NWL20,1200,0,RATED,1,461.2557991,0.384379833
5727,Anita,15,86,69,2,67,Anita,regular,STANDARD,0,8/29/2022 17:59,NWL20,1200,0,RATED,1,355.7247128,0.296437261
17372,Anita,14,127,71,-21,92,STEEBot,regular,STANDARD,0,9/5/2022 19:30,NWL20,1200,0,RATED,1,272.7711551,0.227309296
72348,Anita,14,82,85,0,85,Anita,regular,STANDARD,1,9/4/2022 17:45,NWL20,1200,0,RATED,1,312.474432,0.26039536
33543,Anita,12,170,81,4,77,Anita,regular,STANDARD,0,9/10/2022 13:29,NWL20,1200,0,RATED,1,385.071063,0.320892553
23717,Anita,13,92,68,0,68,Anita,regular,STANDARD,0,9/7/2022 14:55,NWL20,1200,0,RATED,1,264.5869141,0.220489095
60422,Anita,14,109,66,4,62,BetterBot,regular,STANDARD,0,9/12/2022 17:00,NWL20,1200,0,RATED,1,305.7560072,0.254796673
