Date,TurtleID,SiteName,TurtleSpecies,Day,Time,Recapture,Status,CaptureComment,Latitude,Longitude,Datum,LocationDescription,InsideSite,StudySite,CaptureMethod,Temp,SkyIndex,Weather,DaysSinceLastRain,EyeColor,LifeStage,Sex,Annuli,Mass,PhotoTaken,StraightlineCL,MaxCW,PL_AnteriortoHinge,PL_HingetoPosterior,Total_PL,ShellHeightatHinge,Habitat,Selected_InjuriesorDefects,InjuriesorDefects Notes,Selected_IllnessorHeatlth_Issues,IllnessorHealth_Issues_Notes,SelectedParasites,ParasitesNotes,Notes
5/28/2009,ABC,Piedmont Wildlife Center,TERCAR,Thu,12:20:00,N,Alive,NA,35.92083,-78.98343,WGS84,next to Bronson house in Leigh Farm Park,Y,Leigh Farm,2,84.6,3,1,2,NA,Adult,Male,12,350,Y,123,96,46,80,126,52,field/forest edge (within 6m of boundry),None seen,NA,None detected,NA,None detected,NA,next to house
6/1/2009,ABP,Piedmont Wildlife Center,TERCAR,Mon,8:00:00,N,Alive,NA,35.92224,-78.98326,WGS84,near grape arbor at Leigh Farm Park,Y,Leigh Farm,2,71,0,1,3,NA,Adult,Female,18,408,Y,117,98,46,77,123,61,field,"Crushed or damaged carapace, Crushed or damaged plastron, Missing digits, and/or limbs","old crack on plastron, various chunks out of plastron and carapace, very jagged scoots at posterior I-N, amputated back right foot (healed)",None detected,NA,None detected,NA,NA
6/10/2009,ABH,Piedmont Wildlife Center,TERCAR,Wed,15:48:00,N,Alive,NA,35.92307,-78.98245,WGS84,on trail by log cabin,Y,Leigh Farm,4,88,3,1,1,NA,Adult,Male,14,156,Y,119,93,48,72,120,55,field/forest edge (within 6m of boundry),None seen,NA,None detected,NA,None detected,NA,Found sitting on top of eggs in a hollow in middle of trail moved into cover at edge of trail.
6/17/2009,ABI,Piedmont Wildlife Center,TERCAR,Wed,12:45:00,N,Alive,NA,35.91976,-78.98418,WGS84,in stream bed,Y,Leigh Farm,4,78.1,4,1,0,NA,Adult,Female,12,348,N,111,95,46,70,116,62,stream river,"Missing digits, and/or limbs",left front foot amputated,None detected,NA,None detected,NA,NA
6/19/2009,ABJ,Piedmont Wildlife Center,TERCAR,Fri,11:00:00,N,Alive,NA,35.92131,-78.982,WGS84,at #3 disc golf basket,Y,Leigh Farm,3,86,0,1,1,NA,Adult,Female,18,472,Y,131,104,49,80,129,59,forest wetland,None seen,NA,None detected,NA,None detected,NA,Found by turtle dogs w/ children aged 4-7
7/6/2009,ABL,Piedmont Wildlife Center,TERCAR,Mon,15:45:00,N,Alive,NA,35.92075,-78.98334,WGS84,in back of green house near edge of forest,Y,Leigh Farm,4,79,3,1,0,NA,Adult,Male,17,245,Y,129,101,49,75,124,56,field/forest edge (within 6m of boundry),Tooth marks on shell,"concave carapace at June, July, Aug, carapace has a number of chew marks",None detected,NA,None detected,NA,has head and all 4 legs out and active - not afraid of people
7/6/2009,ABK,Piedmont Wildlife Center,TERCAR,Mon,10:30:00,N,Alive,NA,35.92183,-78.98337,WGS84,in camp turn around,Y,Leigh Farm,4,70,2,1,0,NA,Adult,Male,13,168,Y,116,92,46,68,114,58,field/forest edge (within 6m of boundry),"Crushed or damaged plastron, Tooth marks on shell","chewed up on carapace July, Aug, Nov, cracked plastron, right rear leg not moving",Other,right rear leg not moving,None detected,NA,NA
7/7/2009,ABM,Piedmont Wildlife Center,TERCAR,Tue,14:45:00,N,Alive,NA,35.92056,-78.98263,WGS84,on trail near stream bed,Y,Leigh Farm,4,79.3,1,1,1,NA,Adult,Male,18,356,Y,118,95,45,72,117,54,forest wetland,Tooth marks on shell,"chewed up carapace in front, chewed up plastron in front",None detected,NA,None detected,NA,NA
7/8/2009,HIJ,Piedmont Wildlife Center,TERCAR,Wed,10:45:00,N,Alive,NA,35.92117,-78.98232,WGS84,in stream bed north of greenhouse trail,Y,Leigh Farm,4,82,1,1,2,NA,Adult,Female,9,205,Y,98,78,39,57,96,46,forest wetland,None seen,chewed up A-E carapace,None detected,NA,None detected,NA,NA
7/13/2009,ABN,Piedmont Wildlife Center,TERCAR,Mon,12:30:00,N,Alive,NA,35.92352,-78.98511,WGS84,outer loop trail by 1-40 drainage,Y,Leigh Farm,4,81.7,4,2,0,NA,Adult,Male,15,320,Y,120,92,49,70,119,57,forest wetland,None seen,NA,None detected,NA,None detected,NA,NA
