WAGE,OCCUPATION,SECTOR,UNION,EDUCATION,EXPERIENCE,AGE,SEX,MARR,RACE,SOUTH
8,6,1,0,12,19,37,1,1,3,0
5.95,4,0,0,13,9,28,0,1,3,1
13.95,1,0,0,18,14,38,1,1,3,0
5.87,3,0,0,17,6,29,1,0,1,1
4,6,0,0,12,4,22,0,0,3,0
4.17,4,0,0,14,24,44,1,0,3,0
22.5,1,0,0,15,12,33,0,1,3,0
12,6,1,1,12,20,38,0,1,3,1
3.75,6,0,0,16,13,35,1,0,3,1
5.25,3,0,0,16,2,24,1,0,3,1
12,5,0,0,14,10,30,1,1,3,0
3.75,6,1,0,12,6,24,1,1,1,1
5,6,0,0,17,1,24,1,0,3,1
13.98,6,0,0,14,14,34,0,0,3,0
3.35,6,1,0,7,43,56,0,1,3,1
10,5,0,0,14,22,42,0,1,3,0
5.5,6,1,0,12,3,21,0,0,3,0
4.45,6,0,0,10,27,43,0,0,3,1
22.83,5,1,0,18,37,61,1,0,3,0
9,3,0,1,12,20,38,0,1,3,0
11.32,3,1,0,12,13,31,1,1,3,0
5.62,3,0,0,13,2,21,1,1,2,0
6.5,6,0,0,12,8,26,0,0,3,0
7,1,0,0,12,32,50,1,1,3,0
12,5,0,0,17,24,47,1,1,3,0
8.75,4,0,0,11,36,53,1,0,3,0
10.61,5,0,0,15,33,54,1,0,3,0
16.26,4,0,1,12,14,32,0,0,1,0
10.81,3,0,0,12,40,58,1,1,3,0
1,1,0,0,12,24,42,0,1,3,0
9.25,6,1,0,12,19,37,0,0,3,0
4,4,0,0,16,20,42,1,0,3,0
8.63,5,0,0,14,4,24,1,0,3,0
12.5,2,1,0,12,43,61,0,1,3,0
22.2,5,0,0,18,40,64,1,0,3,0
12.5,6,2,0,12,11,29,0,0,3,0
12.5,6,0,0,12,9,27,0,1,3,1
7,6,1,0,3,55,64,0,1,2,1
5.13,2,0,0,12,5,23,1,1,3,0
9.86,5,0,0,15,13,34,0,1,3,0
10,1,0,0,18,13,37,1,0,3,1
5.5,2,0,0,12,20,38,0,1,3,0
13.16,1,0,0,12,38,56,1,1,3,0
4.5,3,0,0,13,0,19,1,0,3,1
3.84,2,0,0,11,25,42,1,1,1,1
9,1,0,0,16,7,29,0,1,1,0
11.36,5,0,0,18,5,29,0,0,3,0
4.55,1,0,0,12,4,22,1,0,2,1
18.16,1,0,0,17,14,37,0,0,3,1
8.5,5,0,0,12,16,34,1,0,3,0
20.5,5,0,1,16,14,36,0,1,3,1
19.98,6,0,0,9,29,44,0,1,3,1
13.1,4,0,0,10,38,54,1,1,1,1
24.98,5,1,0,17,31,54,0,1,3,0
8.43,3,0,0,12,12,30,0,1,3,1
13,6,1,1,12,19,37,0,1,1,1
9,3,1,0,16,27,49,1,1,3,0
6.5,5,0,0,12,11,29,1,0,3,0
9.37,1,0,0,16,26,48,1,1,3,0
5.4,3,1,0,12,18,36,1,1,3,0
10,5,0,0,16,10,32,1,1,3,0
3.43,4,0,0,12,2,20,0,0,1,1
3.75,4,0,0,12,41,59,1,0,3,0
13.26,6,0,1,12,16,34,0,1,3,0
3.5,4,0,0,10,33,49,1,0,3,1
12.5,3,0,0,15,6,27,1,1,3,0
22.2,6,1,1,12,26,44,0,1,3,0
7.5,5,0,1,16,10,32,0,1,3,0
12.67,5,0,0,16,15,37,0,1,3,0
6,1,0,0,16,8,30,0,0,3,1
3.6,4,0,0,12,6,24,1,0,3,0
19.47,6,0,0,12,9,27,0,0,3,0
5,6,1,0,12,28,46,1,1,3,0
6.1,5,0,0,12,33,51,1,1,1,0
12,3,0,0,12,5,23,0,0,3,1
10.2,5,0,1,17,26,49,1,1,3,0
6.4,2,0,0,12,45,63,1,1,3,0
6,6,0,1,12,1,19,0,0,2,1
24.98,5,0,0,16,5,27,1,0,3,1
4.5,6,1,0,12,7,25,1,1,3,0
6.28,6,1,0,12,38,56,1,1,3,0
9.65,3,0,0,12,38,56,1,1,3,0
5.77,4,1,0,16,3,25,0,0,3,0
11.35,6,0,1,12,17,35,0,1,3,0
13.07,6,0,1,13,9,28,0,0,3,0
26.29,1,0,0,17,32,55,0,1,3,1
4.85,6,1,0,9,16,31,1,1,3,0
16,6,0,1,14,20,40,0,1,3,0
5.56,2,0,0,14,5,25,0,0,3,1
20,5,0,1,16,28,50,1,1,3,1
9.37,5,0,1,17,7,30,0,1,3,0
3.5,2,0,0,14,6,26,1,1,3,1
3.35,6,1,0,11,3,20,0,0,1,1
10,5,0,1,16,14,36,0,1,3,1
8.89,4,0,0,8,29,43,1,0,1,0
11.25,6,0,0,13,14,33,0,1,3,0
6.88,4,0,0,14,10,30,1,0,3,1
11,6,1,1,16,13,35,0,1,3,0
3.55,3,0,0,13,1,20,1,0,3,1
5.5,4,0,0,12,20,38,0,1,3,1
11.25,5,0,0,17,10,33,1,0,3,0
9,2,0,0,12,16,34,0,1,3,0
5.71,6,1,1,12,16,34,1,1,3,0
11.79,5,0,1,16,6,28,1,0,3,0
9.57,4,0,1,12,5,23,1,1,3,0
25,4,0,1,14,4,24,0,0,2,0
3.5,4,0,0,11,17,34,1,1,3,1
6,6,1,0,7,15,28,1,1,3,1
3.5,4,0,1,9,47,62,0,1,3,0
7.61,6,2,0,12,20,38,0,1,1,1
4.8,6,1,0,12,16,34,1,1,3,0
10.62,1,0,0,12,34,52,0,1,3,1
5.5,5,0,0,16,29,51,0,1,3,1
15.73,5,1,0,16,4,26,0,1,3,0
9.56,6,0,0,12,23,41,0,1,3,0
6.73,6,1,0,12,2,20,0,1,3,1
22.5,1,0,0,16,22,44,0,1,3,0
10.78,6,2,1,11,28,45,0,1,1,1
15,6,2,1,12,40,58,0,1,3,0
14,5,0,1,18,31,55,1,0,3,0
5.75,5,0,1,9,34,49,1,1,1,1
6.67,5,0,1,16,10,32,1,0,3,0
6.75,6,1,1,10,41,57,0,1,1,1
11.67,3,2,0,12,43,61,1,1,3,0
12.2,6,1,0,14,10,30,0,1,3,1
3.8,4,0,0,12,16,34,1,0,3,0
12.5,3,0,1,12,14,32,1,1,3,0
11.02,3,0,1,14,12,32,0,1,3,1
14.21,6,1,1,11,15,32,0,0,3,0
4.25,3,0,0,12,20,38,1,1,3,0
15,6,1,0,16,12,34,0,1,3,0
4.5,1,0,0,12,3,21,1,1,3,0
11.25,6,0,1,12,41,59,0,1,3,0
