WAGE,OCCUPATION,SECTOR,UNION,EDUCATION,EXPERIENCE,AGE,SEX,MARR,RACE,SOUTH
5.65,6,1,0,14,2,22,0,0,3,0
11.32,3,1,0,12,13,31,1,1,3,0
11,6,1,0,8,42,56,0,1,3,0
18.16,1,0,0,17,14,37,0,0,3,1
6,4,0,0,4,54,64,0,1,3,0
8.5,5,0,0,12,16,34,1,0,3,0
11.5,6,1,1,12,19,37,0,0,3,0
9,4,0,0,12,10,28,0,1,3,0
8,4,0,0,12,15,33,1,1,3,0
9.6,3,0,0,12,14,32,1,1,3,1
5,3,0,0,13,6,25,1,1,3,1
12.5,6,0,0,12,9,27,0,1,3,1
8.99,4,0,1,12,15,33,1,0,3,0
12.5,4,0,0,14,19,39,1,1,3,0
3.95,4,0,0,12,9,27,1,1,3,1
15,1,1,1,16,26,48,0,1,1,0
13,4,0,1,11,18,35,0,1,3,1
5,3,0,0,12,39,57,1,1,3,0
3.75,4,0,0,12,41,59,1,0,3,0
4.35,4,0,0,11,20,37,1,1,3,0
5,3,0,0,14,17,37,1,1,2,0
10.28,5,0,0,15,10,31,1,1,3,1
6.94,4,0,0,12,7,25,1,0,3,0
13.2,1,0,0,16,10,32,0,0,3,0
8.5,6,0,1,12,8,26,0,1,1,0
10.62,1,1,0,16,6,28,1,1,3,0
12.5,5,0,1,17,13,36,1,1,3,0
4.84,1,0,1,15,1,22,0,1,3,0
4.45,6,0,0,10,27,43,0,0,3,1
12,5,0,0,17,24,47,1,1,3,0
9.24,5,1,1,16,5,27,0,1,1,0
6.75,6,1,1,10,41,57,0,1,1,1
18.16,5,0,0,18,7,31,0,1,3,0
5.71,5,0,0,18,7,31,0,0,3,1
5,6,0,0,17,1,24,1,0,3,1
4.8,6,1,0,12,16,34,1,1,3,0
10,3,0,0,14,24,44,1,0,3,0
5.2,3,0,0,18,13,37,1,1,2,1
12.05,5,1,0,16,6,28,1,0,3,0
13.98,6,0,0,14,14,34,0,0,3,0
10,5,0,0,16,4,26,1,1,3,1
3.35,6,1,0,12,8,26,1,1,3,0
9.5,3,0,0,12,25,43,1,0,3,0
6,6,0,1,12,1,19,0,0,2,1
12,2,1,0,17,13,36,0,1,3,0
5,6,0,0,12,12,30,0,1,1,0
9.57,4,0,1,12,5,23,1,1,3,0
11.35,6,0,1,12,17,35,0,1,3,0
6.25,3,0,0,13,30,49,1,1,3,0
4,2,0,0,12,15,33,1,0,3,0
4.5,6,1,0,12,7,25,1,1,3,0
10.61,5,0,0,15,33,54,1,0,3,0
4.5,6,1,0,12,3,21,1,0,3,0
5.55,4,0,1,11,45,62,1,0,3,0
15.79,5,0,0,18,7,31,0,1,3,0
5.8,2,0,0,13,5,24,0,0,3,0
7,1,0,0,12,32,50,1,1,3,0
12,5,0,0,14,10,30,1,1,3,0
3.75,2,0,0,15,4,25,0,0,3,1
1.75,4,0,0,12,5,23,1,1,3,1
7,3,0,0,11,12,29,1,0,3,0
12.2,6,1,0,14,10,30,0,1,3,1
13,6,1,1,12,19,37,0,1,1,1
6.58,1,0,0,12,24,42,1,1,3,0
4.85,6,0,0,10,13,29,0,0,3,1
5,3,0,0,12,0,18,1,0,3,0
