"username","n_likes","n_comments","n_hashtags","n_characters","n_words","n_emojis","n_mentions","is_video","Trudeau"
"justintimberlake",235255,2031,0,23,4,0,2,FALSE,0
"justintimberlake",403619,4019,0,11,2,0,6,TRUE,0
"justintimberlake",56882,1213,0,15,2,0,1,TRUE,0
"justintimberlake",411930,7619,0,594,120,1,7,FALSE,0
"justintimberlake",501585,3883,0,33,5,0,0,FALSE,0
"justintimberlake",326190,2359,0,17,4,2,2,FALSE,0
"justintimberlake",671391,9745,0,43,9,0,5,FALSE,0
"justintimberlake",491359,3312,1,46,6,1,1,TRUE,0
"justintimberlake",586501,2468,1,61,7,2,2,FALSE,0
"justintimberlake",207116,2059,0,91,19,4,1,TRUE,0
"justintimberlake",512317,2237,0,285,54,0,0,FALSE,0
"justintimberlake",106489,1041,0,594,113,2,1,FALSE,0
"justintimberlake",198175,1764,0,67,11,1,3,TRUE,0
"justintimberlake",279792,3747,0,1277,224,0,1,FALSE,0
"justintimberlake",306101,2178,0,143,28,2,2,FALSE,0
"justintimberlake",992533,2952,0,436,87,2,0,FALSE,0
"justintimberlake",107083,1827,0,51,6,2,3,TRUE,0
"justintimberlake",250755,2437,1,197,39,2,1,FALSE,0
"justintimberlake",561049,8024,0,25,3,1,2,FALSE,0
"justintimberlake",64402,890,3,902,156,2,1,TRUE,0
"justintimberlake",407319,3820,2,323,52,0,2,FALSE,0
"justintimberlake",158143,2175,0,46,8,3,1,TRUE,0
"justintimberlake",662623,3431,1,201,35,3,2,FALSE,0
"justintimberlake",716431,4068,1,125,17,2,3,FALSE,0
"justintimberlake",1637134,8088,0,396,71,2,1,FALSE,0
"justintimberlake",282355,15045,1,116,24,3,1,TRUE,0
"justintimberlake",390550,11238,0,79,9,2,4,FALSE,0
"justintimberlake",201866,3227,1,169,30,2,1,TRUE,0
"justintimberlake",337035,3244,1,92,17,2,1,FALSE,0
"justintimberlake",322862,7841,2,367,67,2,0,TRUE,0
"justintimberlake",524204,3554,0,448,80,0,8,FALSE,0
"justintimberlake",109765,1153,0,348,57,2,4,TRUE,0
"justintimberlake",225861,6709,0,899,160,2,0,TRUE,0
"justintimberlake",1347471,11401,0,331,58,2,1,FALSE,0
"justintimberlake",241655,1248,1,691,116,0,0,FALSE,0
"justintimberlake",395142,2291,1,128,25,0,1,FALSE,0
"justintimberlake",221925,4318,1,701,127,0,1,TRUE,0
"justintimberlake",345282,4368,0,1245,244,0,2,FALSE,0
"justintimberlake",763330,33083,0,154,29,2,0,TRUE,0
"justintimberlake",172726,1239,0,32,3,0,3,FALSE,0
"justintimberlake",137886,2411,1,816,140,2,5,TRUE,0
"justintimberlake",308403,1883,0,111,19,2,5,FALSE,0
"justintimberlake",297711,7464,1,69,11,2,0,TRUE,0
"justintimberlake",972709,49125,1,1034,209,3,0,FALSE,0
"justintimberlake",636950,3807,1,184,34,0,0,FALSE,0
"justintimberlake",34350,603,0,480,83,0,0,TRUE,0
"justintimberlake",394439,8964,0,22,4,2,1,TRUE,0
"justintimberlake",35824,1064,0,420,70,2,0,TRUE,0
"justintimberlake",147296,1049,0,25,5,2,1,TRUE,0
"justintimberlake",54288,1499,0,309,53,3,0,TRUE,0
"justintimberlake",359145,6217,1,118,20,1,2,TRUE,0
"justintimberlake",428118,6528,0,26,4,2,3,FALSE,0
"justintimberlake",329075,9939,0,79,12,2,1,TRUE,0
"justintimberlake",40977,1305,0,136,21,2,0,TRUE,0
"justintimberlake",604391,2290,0,67,11,0,1,FALSE,0
"justintimberlake",37823,989,0,60,12,2,0,TRUE,0
"justintimberlake",80921,4336,1,1427,256,0,0,TRUE,0
"justintimberlake",156804,2307,3,496,75,0,3,FALSE,0
"justintimberlake",796704,3890,0,1335,261,0,1,FALSE,0
