"username","n_likes","n_comments","n_hashtags","n_characters","n_words","n_emojis","n_mentions","is_video","Trudeau"
"justinpjtrudeau",51736,980,0,1440,230,0,3,FALSE,1
"justinpjtrudeau",14374,154,0,309,58,0,0,FALSE,1
"justinlong",26146,327,0,1136,207,2,6,FALSE,0
"justinlong",25487,438,2,80,11,1,0,FALSE,0
"justinpjtrudeau",461211,12002,2,271,46,0,2,TRUE,1
"justinpjtrudeau",31684,437,2,488,85,0,2,FALSE,1
"justinpjtrudeau",38471,631,0,491,76,0,0,FALSE,1
"justinpjtrudeau",28156,253,0,655,102,0,0,FALSE,1
"justinpjtrudeau",33121,1124,2,457,71,0,0,FALSE,1
"justinpjtrudeau",31687,343,0,207,35,0,0,FALSE,1
"justinpjtrudeau",153547,5558,0,288,53,0,0,FALSE,1
"justinpjtrudeau",5189,258,5,87,15,0,0,FALSE,1
"justinpjtrudeau",7900,90,0,215,37,0,0,TRUE,1
"justinlong",7792,167,5,160,21,0,0,FALSE,0
"justinlong",23837,1121,0,41,9,1,0,TRUE,0
"justinlong",15177,385,0,75,13,1,0,FALSE,0
"justintimberlake",555932,2595,0,25,3,0,3,FALSE,0
"justinpjtrudeau",29684,263,0,285,53,0,0,FALSE,1
"justinpjtrudeau",20971,458,1,80,14,0,0,TRUE,1
"justinpjtrudeau",20002,235,0,282,47,0,0,FALSE,1
"justinpjtrudeau",12442,147,0,320,47,0,0,FALSE,1
"justintimberlake",272344,3563,0,36,7,0,2,TRUE,0
"justinpjtrudeau",35563,1159,0,366,61,0,0,FALSE,1
"justinpjtrudeau",5342,83,0,148,26,0,0,TRUE,1
"justintimberlake",297711,7464,1,69,11,2,0,TRUE,0
"justinpjtrudeau",33768,705,0,474,79,0,0,TRUE,1
"justinpjtrudeau",63246,2974,1,80,11,0,0,TRUE,1
"justinpjtrudeau",47962,548,0,77,12,0,0,FALSE,1
"justinpjtrudeau",38205,882,0,512,86,0,0,FALSE,1
"justinpjtrudeau",61800,1360,2,1248,212,0,0,FALSE,1
"justintimberlake",253076,2318,0,17,2,0,1,TRUE,0
"justinlong",23623,318,2,218,34,3,0,FALSE,0
