"video_id","title","channel_title","category_id","tags","views","likes","dislikes","comment_total","thumbnail_link","date"
"aRgTLb5EbiQ","My Mama Wears Timbs","Ari Fitz",26,"itsarifitz|ari fitz vlogs|ari fitz daily vlogs|daily vlogs|lesbian daily vlogs|gay daily vlogger|gay|lesbian|lesbian youtuber|who is ari fitz",13895,2043,12,240,"https://i.ytimg.com/vi/aRgTLb5EbiQ/default.jpg",13.1
"AZDiPT4PuHE","MY LITTLE PONY CAKE! - NERDY NUMMIES","Rosanna Pansino",26,"my little pony|my little ponies|pony|horse|cute|adorable|cartoon|anime|family friendly|equestria|rainbow dash|cartoon network|new|show|season|episode|themed|birthday|perfect|for kids|idea|diy|do it yourself|how to|basic|simple|easy|step by step|guide|tutorial|pastry|chef|master|insane|crazy|toys|fun|opening|applejack|culinary|food|wardrobe|outfit|girl|gamer|cookbook|tiered|fondant|icing|crumb|recipe|geeky|family|vlog|how to cook|how to bake|decorate|decorating",457152,21125,260,6316,"https://i.ytimg.com/vi/AZDiPT4PuHE/default.jpg",7.1
"oD7nZouNyDA","GRWM | SLAY THE GROCERY STORE & Catch Up","bubzbeauty",26,"grwm|get ready with me|milf|milf makeup|bubzbeauty|bubzvlogz|grocery store makeup|yummy mummy",65088,3946,59,351,"https://i.ytimg.com/vi/oD7nZouNyDA/default.jpg",21.09
"q3br7KKr67o","Pumpkin Spiced White Hot Chocolate | Episode 1197","Laura in the Kitchen",26,"chef vitale|chef laura vitale|laura vitale|chef laura|homemade hot chocolate|easy hot chocolate|how to make hot chocolate|best hot chocolate|pumpkin hot chocolate|pumpkin spice|pumpkin drinks|homemade hot chocolate drinks|how to make white hot chocolate|white chocolate|kitchen|cook|dessert|cooking shows",51498,3387,51,233,"https://i.ytimg.com/vi/q3br7KKr67o/default.jpg",1.1
"rUkHLs9RHP0","Brain Surgery Costs HOW MUCH $$ !?!","Courtelizz1",26,"[none]",41320,2178,64,796,"https://i.ytimg.com/vi/rUkHLs9RHP0/default.jpg",5.1
"oK4me2hI_Jo","VICTORIA BECKHAM COLLECTION | Hot or Not","Tati",26,"YouTube|Beauty|Makeup|Tutorial|Review|vlogger|blogger|Tati|Westbrook|GlamLifeGuru|how to|makeup tutorial|Beauty expert|drugstore|luxury|Haul|favorites|Best|worst|cosmetics|Estee Lauder|VICTORIA BECKHAM|VICTORIA BECKHAM Makeup|VICTORIA BECKHAM Line|Posh|Posh Spice|VICTORIA BECKHAM Review|VICTORIA BECKHAM COLLECTION|VICTORIA BECKHAM Tati|VICTORIA BECKHAM Tati Review|Tati Approved",690445,29547,668,2286,"https://i.ytimg.com/vi/oK4me2hI_Jo/default.jpg",18.09
"O-eWLaO3gy4","Cream Cheese Stuffed Pumpkin Muffins | Episode 1193","Laura in the Kitchen",26,"chef vitale|chef laura vitale|laura vitale|chef laura|cream cheese muffins|pumpkin muffins|muffin recipes|dessert|homemade muffins|homemade pumpkin|how to make|how to bake|baked|desserts|cook|cooking|best cooking show|cooking shows|recipe|kitchen|recipes",65192,3938,52,200,"https://i.ytimg.com/vi/O-eWLaO3gy4/default.jpg",18.09
"xHvVhhFvLtY","SPIKED by a Sea Urchin?","Brave Wilderness",15,"sting|stung|stinging|adventure|adventurous|animals|breaking trail|coyote|coyote peterson|peterson|trail|wild|worst sting|painful sting|spiked|barbed|stingray sting|creepy creatures|ant sting|do horseshoe crabs sting|alien|bizarre|bizarre creature|huge stinger|will it bite|will it sting|spikey|pinched|pinched by a crab|spiky sea creature|spiked by a sea urchin|sea urchin|hawii|tide pooling|tide pool creatures|fantastic creatures|sea creature|its alive|pac",2333102,46801,954,5702,"https://i.ytimg.com/vi/xHvVhhFvLtY/default.jpg",17.09
"5kZi3J2S52E","The Final Steps of Making Pyrimethamine (Daraprim)","NurdRage",27,"Science|experiment|chemistry|Pyrimethamine|Daraprim",231371,7945,47,786,"https://i.ytimg.com/vi/5kZi3J2S52E/default.jpg",14.09
"K7pQsR8WFSo","Schlieren Imaging in Color!","Veritasium",27,"veritasium|science|physics|shlieren|imaging|photography|ping-pong ball|light|color|colour|flame|match|slow-mo|slow motion",613143,28903,276,2170,"https://i.ytimg.com/vi/K7pQsR8WFSo/default.jpg",4.1
