"video_id","title","channel_title","category_id","tags","views","likes","dislikes","comment_total","thumbnail_link","date"
"OZ5kXgYW5cE","The Shark Tier List","TierZoo",20,"Shark|hammerhead|great white|whale",294791,22609,163,4256,"https://i.ytimg.com/vi/OZ5kXgYW5cE/default.jpg",2.1
"Bn7ZtoFTm2Y","Super Glowy Skin + Makeup with No Foundation! | Ingrid Nilsen","Ingrid Nilsen",26,"Super Glowy Skin + Makeup with No Foundation! | Ingrid Nilsen|missglamorazzi|ingrid nilsen|no foundation|skincare|makeup|tutorial|glowy skin|glowy makeup|get ready with me|morning",122694,4744,207,286,"https://i.ytimg.com/vi/Bn7ZtoFTm2Y/default.jpg",23.09
"HqHQFm5L6Zc","BMW Hot Tub First Tests and Issues","colinfurze",2,"colin|furze|bmw|hot tub|spa car|drivable hot tub|google ad|first test|smoke|water|amazing|crazy|bmw e30|behind scenes|how to|making of",1158597,31596,1007,1772,"https://i.ytimg.com/vi/HqHQFm5L6Zc/default.jpg",9.1
"BY3SLVNBkeo","Learn to Play Cat - Simon's Cat | LOGIC","Simon's Cat",15,"cartoon|simons cat|simon's cat|simonscat|simon tofield|simon the cat|funny cats|cute cats|cat fails|family friendly|animated animals|short animation|animated cats|tofield|simon's katze|simon|cat|black and white|kitty|traditional animation|black and white cat|<U+041A><U+043E><U+0442> <U+0421><U+0430><U+0439><U+043C><U+043E><U+043D><U+0430>|cat lovers|animal (film character)|fail|funny cat|cats|cute|kitten|kittens|pets|simons cats|Cat|Simon|Tofield|cartoons|Toons|Animated|Animation|Kitten|Funny|Humour|fun|videos|cat logic",98524,4891,62,322,"https://i.ytimg.com/vi/BY3SLVNBkeo/default.jpg",25.09
"SeUyzOP3mys","Intense <U+0001F399><U+FE0F> ASMR <U+0001F399><U+FE0F> Sounds","Gentle Whispering ASMR",26,"ASMR|[ASMR]|asmr|whisper|Maria|gentlewhispering|New|Latest|Sleep|Best|Sweet|Darling|Russian|relaxing|soothing|girl|lady|entertainment|comfort|gentle|tutorial|caring|meditation|nails|star|game|funny|sexy|calming|voice|tingles|chills|pleasant|insomnia|peace|love|hair|make|up|fashion|beautiful|<U+0430><U+0441><U+043C><U+0440>|<U+0410><U+0421><U+041C><U+0420>|<U+0448><U+0435><U+043F><U+043E><U+0442>|<U+043D><U+0435><U+0436><U+043D><U+044B><U+0439>|<U+043C><U+044F><U+0433><U+043A><U+0438><U+0439>|<U+0433><U+043E><U+043B><U+043E><U+0441>|<U+0434><U+0435><U+0432><U+0443><U+0448><U+043A><U+0430>|<U+043F><U+0440><U+0438><U+044F><U+0442><U+043D><U+043E>|<U+0441><U+043E><U+043D>|<U+0440><U+0430><U+0441><U+0441><U+043B><U+0430><U+0431><U+043B><U+0435><U+043D><U+0438><U+0435>|<U+043F><U+043E><U+043A><U+043E><U+0439>|<U+0441><U+0442><U+0440><U+0435><U+0441><U+0441>|Bob|Ross|sennheiser|mk4",921008,24448,1062,5360,"https://i.ytimg.com/vi/SeUyzOP3mys/default.jpg",14.1
"gDf4RpaMFrk","We Tried 3 Iconic Kim Kardashian Looks KUWTK 10 Year Anniversary | Beauty Evolution | Refinery29","Refinery29",26,"refinery29|refinery 29|r29|r29 video|refinery29 video|female|empowerment|kim kardashian|3 most famous looks|beauty evolution|iconic phases|beauty experiment|keeping up with the kardashians|kkw beauty|kim kardashian west|KUWTK|10th anniversary|kardashians|kuwtk anniversary|kim kardashian makeup|kim kardashian beauty tutorial|kim kardashian transformatio|celebrity transformation|kim kardashian contour|kim kardashian makeup tutorial",27748,365,32,34,"https://i.ytimg.com/vi/gDf4RpaMFrk/default.jpg",1.1
"MHzktkbjDOE","Under $300 Bedroom Makeover | Mr. Kate Decorates on a Budget","Mr. Kate",26,"Google|Google Assistant|#GoogleAssistant|Assistant|Personal Assistant|Technology|Tech|Best New Tech|New Tech|Mr. Kate|Mr. Kate Google|Mr. Kate Google Assistant|Mr Kate Google|Mr Kate Google Assistant|budget interior design|omg we’re coming over|room makeover|bedroom makeover|diy budget|budget diy|parisian theme decor|paris theme decor|thrift store|thrifting|budget shopping|cheap decor|cheap room DIY",903593,46461,534,2292,"https://i.ytimg.com/vi/MHzktkbjDOE/default.jpg",1.1
"zHdJwBrT3WA","Game Theory: The Pokedex is FULL OF LIES! (Pokemon)","The Game Theorists",20,"Pokemon|pokedex|Gardevoir|pokemon go|pokemon theme song|pokemon sun and moon|pokemon gardevoir|pokemon pokedex|pikachu|fire pokemon|pokemon full episodes|pokédex|charizard|pokemon song|pokemon go song|game theory|matpat|game theorists|Pokemon Theory|pokemon game theory|matpat pokemon|pokedex game theory",2006746,69228,5483,27346,"https://i.ytimg.com/vi/zHdJwBrT3WA/default.jpg",4.1
"7TN09IP5JuI","Terry Crews Hallucinates While Eating Spicy Wings | Hot Ones","First We Feast",26,"First we feast|fwf|firstwefeast|food|food porn|cook|cooking|chef|kitchen|recipe|cocktail|bartender|craft beer|complex|complex media|Cook (Profession)|terry crews|hot ones|sean evans|everybody hates chris|hot sauce|nfl|spicy wings|hot wing challenge|food challenge|interview|actor|10 questions|10 wings|the last dab|peppers|hallucinates|hot wing show|brooklyn 9 9",2513012,130944,1101,19133,"https://i.ytimg.com/vi/7TN09IP5JuI/default.jpg",6.1
"wUHWzsF_qJM","Creepy Scarecrow Halloween Makeup Tutorial! DIY Costume","Chloe Morello",26,"australian|blogger|vlogger|blog|vlog|guru|makeup|cosmetics|beauty|make|up|make-up|products|tutorial|how|to|how-to|DIY|video|application|caramorello|chloe|morello|chloemorello|aussie|halloween|SpecialFX|effects|scary|scarecrow|costume|best|unique|stuffed scarecrow|party|easy|dripping|ben nye|straw|bursting seams|seams|body paint|special|fake|ugly|wizard of oz|farm|wizard|oz|flannel shirt|tin man|dorothy|creepy|scared|creeped|chilling|spooky|haunted|zombie|posessed|possessed|ideas",72977,7961,70,1198,"https://i.ytimg.com/vi/wUHWzsF_qJM/default.jpg",14.1
