sex,length,diameter,height,weight_whole,weight_shucked,weight_viscera,weight_shell,rings
M,0.505,0.4,0.15,0.775,0.3445,0.157,0.185,7
M,0.605,0.475,0.145,0.884,0.3835,0.1905,0.27,8
M,0.655,0.485,0.195,1.62,0.6275,0.358,0.485,17
F,0.625,0.47,0.145,0.984,0.475,0.2,0.265,11
M,0.555,0.44,0.14,0.8705,0.407,0.156,0.255,9
F,0.605,0.48,0.14,0.991,0.4735,0.2345,0.24,8
F,0.58,0.425,0.15,0.844,0.3645,0.185,0.2705,9
M,0.525,0.425,0.12,0.8665,0.2825,0.176,0.29,18
M,0.625,0.505,0.185,1.1565,0.52,0.2405,0.3535,10
M,0.425,0.35,0.105,0.393,0.13,0.063,0.165,9
M,0.375,0.29,0.1,0.276,0.1175,0.0565,0.085,9
M,0.555,0.435,0.14,0.7495,0.341,0.1645,0.214,8
M,0.775,0.63,0.25,2.7795,1.3485,0.76,0.578,12
F,0.565,0.505,0.21,1.2765,0.501,0.279,0.355,12
M,0.575,0.45,0.13,0.785,0.318,0.193,0.2265,9
M,0.585,0.465,0.16,0.9555,0.4595,0.236,0.265,7
F,0.525,0.425,0.14,0.8735,0.4205,0.182,0.2225,10
F,0.64,0.5,0.17,1.12,0.4955,0.2645,0.32,12
M,0.6,0.47,0.175,1.105,0.4865,0.247,0.315,15
F,0.66,0.525,0.19,1.67,0.6525,0.4875,0.49,11
M,0.57,0.445,0.15,0.9875,0.504,0.207,0.249,8
M,0.62,0.475,0.195,1.3585,0.5935,0.3365,0.3745,10
F,0.46,0.375,0.12,0.4605,0.1775,0.11,0.15,7
M,0.625,0.455,0.17,1.082,0.4955,0.2345,0.315,9
M,0.68,0.52,0.175,1.543,0.7525,0.351,0.374,11
M,0.615,0.455,0.13,0.9685,0.49,0.182,0.2655,10
M,0.69,0.53,0.21,1.583,0.7355,0.405,0.3865,12
F,0.56,0.455,0.19,0.714,0.283,0.129,0.275,9
F,0.565,0.44,0.155,0.9395,0.4275,0.214,0.27,12
M,0.51,0.405,0.15,0.7035,0.347,0.134,0.1885,8
F,0.58,0.455,0.16,0.9215,0.312,0.196,0.3,17
F,0.38,0.325,0.11,0.3105,0.12,0.074,0.105,10
M,0.685,0.535,0.175,1.432,0.637,0.247,0.46,11
F,0.6,0.475,0.155,1.059,0.441,0.19,0.39,11
M,0.73,0.575,0.21,2.069,0.9285,0.409,0.643,11
F,0.505,0.375,0.115,0.5895,0.2635,0.12,0.167,10
M,0.455,0.355,0.13,0.515,0.2,0.1275,0.175,11
F,0.535,0.42,0.13,0.699,0.3125,0.1565,0.2035,8
M,0.5,0.42,0.125,0.62,0.255,0.15,0.205,11
M,0.625,0.495,0.155,1.025,0.46,0.1945,0.34,9
M,0.63,0.505,0.225,1.525,0.56,0.3335,0.45,15
F,0.525,0.43,0.135,0.8435,0.4325,0.18,0.1815,9
M,0.45,0.335,0.14,0.478,0.1865,0.115,0.16,11
F,0.63,0.505,0.165,1.065,0.4595,0.216,0.315,12
M,0.625,0.49,0.165,1.205,0.5175,0.3105,0.3465,10
F,0.555,0.435,0.165,0.97,0.336,0.2315,0.295,17
F,0.72,0.575,0.195,2.1505,1.0745,0.382,0.585,10
F,0.655,0.545,0.185,1.759,0.6865,0.313,0.547,11
F,0.705,0.56,0.205,2.381,0.9915,0.5005,0.624,10
F,0.41,0.305,0.1,0.363,0.1735,0.065,0.11,11
M,0.46,0.34,0.135,0.495,0.1655,0.117,0.185,10
M,0.645,0.515,0.24,1.5415,0.471,0.369,0.535,13
F,0.575,0.45,0.1,0.9315,0.431,0.222,0.235,12
M,0.595,0.475,0.14,1.0305,0.4925,0.217,0.278,10
M,0.74,0.57,0.18,1.8725,0.9115,0.427,0.446,10
M,0.635,0.525,0.185,1.4065,0.684,0.3,0.3745,10
F,0.545,0.415,0.2,1.358,0.567,0.318,0.403,10
F,0.64,0.5,0.15,1.0705,0.371,0.2705,0.36,8
M,0.65,0.505,0.19,1.274,0.59,0.23,0.391,11
F,0.67,0.53,0.205,1.4015,0.643,0.2465,0.416,12
M,0.675,0.52,0.145,1.3645,0.557,0.3405,0.385,11
