annual_income,debt_to_income,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,loan_amount,interest_rate,homeownership
1.00E+05,21.8,1977,2,26,18,312589,49224,21000,15.04,MORTGAGE
57000,13.33,2005,3,25,17,408562,15607,10000,12.61,MORTGAGE
130000,12.44,1996,2,19,14,470893,82425,29825,6.08,MORTGAGE
110000,15.44,1998,2,27,11,366949,38735,20000,9.92,MORTGAGE
110000,23.49,2013,1,16,9,176015,88514,20000,21.45,MORTGAGE
95000,24.47,2006,3,35,15,336147,110766,35925,5.32,MORTGAGE
31500,2.59,2006,3,6,4,85100,2412,4000,12.62,MORTGAGE
90000,16.77,1995,0,45,20,334672,52278,6500,10.42,MORTGAGE
45000,27.55,1994,2,14,10,220400,42192,16000,9.93,MORTGAGE
65000,2.66,1973,2,28,12,328100,6471,24000,7.35,MORTGAGE
55000,18.28,2004,1,29,14,217056,37976,4000,9.44,MORTGAGE
120000,10.8,2007,2,44,27,428094,117193,2400,7.96,MORTGAGE
62000,36.16,2003,2,26,15,64900,34650,10450,13.58,MORTGAGE
75000,12,2004,0,15,8,470638,149424,21000,9.93,MORTGAGE
131000,18.96,2001,0,36,17,233587,48112,19000,14.08,MORTGAGE
112000,17.63,2001,3,25,11,375114,41615,10400,15.04,MORTGAGE
58000,20.28,1992,0,14,10,228970,26981,25000,9.92,MORTGAGE
121000,16.08,1998,1,23,13,284707,60574,30000,9.92,MORTGAGE
151000,18.54,2003,7,59,35,463535,80579,20000,17.09,MORTGAGE
51072,31.3,2010,4,11,9,86214,47862,12000,10.42,MORTGAGE
48000,35.3,2004,13,22,11,177746,89614,8000,15.05,MORTGAGE
63000,20.48,2005,1,28,13,223823,81091,21000,18.06,MORTGAGE
146000,9.83,1985,2,49,26,620049,38325,40000,7.34,MORTGAGE
129000,27.2,2004,2,50,17,359617,182656,5400,10.91,MORTGAGE
55000,11.14,2005,2,42,19,356976,105426,3000,14.07,MORTGAGE
150000,13.25,2002,1,25,20,558733,99509,16800,12.61,MORTGAGE
60000,35.78,1991,0,20,9,276425,57887,4000,18.06,MORTGAGE
195000,6.67,1999,1,29,18,49496,23178,16300,12.62,MORTGAGE
55000,14.2,2006,0,6,4,186349,25778,15000,10.9,MORTGAGE
58250,70.13,1995,0,44,24,594089,86448,40000,9.44,MORTGAGE
18000,22.4,1989,0,18,7,29600,8702,10000,15.04,MORTGAGE
220000,11.4,1994,3,50,20,351511,65372,40000,10.42,MORTGAGE
80000,27.56,1995,0,27,13,95692,38020,8000,22.91,MORTGAGE
70000,13.5,2005,0,8,6,57300,32079,30000,5.31,MORTGAGE
55000,49.56,2009,0,17,8,153559,100119,12000,7.34,MORTGAGE
112000,20.56,1998,2,49,23,132245,75446,20000,25.82,MORTGAGE
40000,29.67,2011,3,19,12,228393,29858,6500,15.05,MORTGAGE
2.00E+05,6.66,2003,3,27,12,415325,47604,20000,10.9,MORTGAGE
52000,14.54,2002,2,22,13,343290,18001,26275,9.92,MORTGAGE
50000,19.97,2001,3,22,10,176928,30241,15000,12.62,MORTGAGE
119000,30.51,2011,0,21,14,254266,89167,30000,26.3,MORTGAGE
120000,20.48,1990,1,27,16,309246,55495,35000,10.42,MORTGAGE
120000,26.24,1994,1,20,11,504331,202033,35000,7.97,MORTGAGE
1.00E+05,25.69,1996,2,39,23,621658,94213,40000,10.42,MORTGAGE
104000,33.34,1998,0,27,13,401800,110169,28000,13.58,MORTGAGE
70000,21.98,1984,2,26,9,204775,58794,1800,9.43,MORTGAGE
76000,19.55,1989,7,33,18,249700,44826,18000,19.42,MORTGAGE
106080,22.79,1999,0,20,11,292485,57261,35000,18.06,MORTGAGE
60000,14.68,1995,4,20,10,325149,20642,31000,12.62,MORTGAGE
60000,22.92,1984,1,29,19,374897,48921,15000,14.07,MORTGAGE
80000,17.7,1999,0,22,8,540881,50552,6050,10.42,MORTGAGE
60000,63.45,1992,2,39,16,600379,120779,35000,6.71,MORTGAGE
67000,1.56,2006,3,17,7,104110,5741,9000,9.43,MORTGAGE
68000,12.9,2006,2,21,13,190200,21553,23000,18.45,MORTGAGE
102000,21.59,2010,5,19,15,394039,102500,10000,16.02,MORTGAGE
45000,28.84,1995,0,17,7,149822,41716,8000,19.03,MORTGAGE
43611,21.96,2004,2,27,12,51328,31431,20000,10.9,MORTGAGE
51800,35.38,1993,6,21,12,126947,85074,7000,7.97,MORTGAGE
80000,21.26,2010,1,17,11,187332,69083,10000,7.35,MORTGAGE
106000,20.4,1994,3,33,9,953050,37671,20000,9.93,MORTGAGE
25000,31.45,2006,1,49,22,404737,29920,5000,18.45,MORTGAGE
120000,52.91,2001,1,51,29,423055,212517,16000,12.61,MORTGAGE
36609,45.25,2006,2,12,7,133555,68930,6000,7.97,MORTGAGE
120000,23.28,1996,0,41,15,342853,66206,21000,7.35,MORTGAGE
70000,10.97,2010,6,18,8,235031,26334,4000,7.35,MORTGAGE
85000,22.72,2003,7,19,11,331298,91933,32675,24.84,MORTGAGE
2.00E+05,21.92,1993,0,26,14,440797,104822,25000,5.32,MORTGAGE
220000,1.44,1995,2,27,8,111921,52398,40000,9.43,MORTGAGE
35000,24.48,2003,2,47,23,257195,29023,30000,7.34,MORTGAGE
85000,29.58,1986,1,33,17,258069,44987,25000,9.93,MORTGAGE
60000,3.1,2001,2,34,8,176400,3332,15000,7.35,MORTGAGE
57000,16.48,2010,4,10,10,201612,32308,12000,16.01,MORTGAGE
75000,26.34,2001,0,21,18,317125,49287,15000,6.72,MORTGAGE
60000,14.28,2005,4,29,15,46856,22970,15600,10.41,MORTGAGE
74000,2.16,2005,1,6,4,14600,1965,2500,6.72,MORTGAGE
