"popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","valence","music_genre"
32,0.0067,0.714,0.747,0.0553,0.623,-5.696,0.0504,0.962,"Blues"
52,0.0417,0.834,0.464,0,0.0971,-8.08,0.338,0.786,"Hip-Hop"
31,0.449,0.373,0.443,0,0.191,-6.631,0.0276,0.319,"Blues"
0,0.918,0.19,0.156,6.9e-06,0.185,-15.438,0.032,0.199,"Jazz"
50,0.0138,0.596,0.869,0.000616,0.072,-6.526,0.0302,0.924,"Country"
46,0.916,0.491,0.154,0,0.163,-13.706,0.0839,0.36,"Blues"
42,0.631,0.198,0.49,0.904,0.16,-10.245,0.0347,0.0757,"Electronic"
65,0.0959,0.825,0.796,0,0.434,-5.537,0.101,0.7,"Hip-Hop"
45,0.00153,0.205,0.956,0.000119,0.099,-6.37,0.142,0.186,"Classical"
54,0.00057,0.264,0.882,0.111,0.283,-4.362,0.0795,0.766,"Blues"
51,0.139,0.8,0.672,0,0.303,-4.939,0.165,0.324,"Rap"
0,0.981,0.201,0.167,0.958,0.141,-13.539,0.0363,0.105,"Classical"
63,0.122,0.567,0.539,0,0.11,-11.203,0.169,0.429,"Rap"
44,0.000744,0.483,0.949,1.9e-05,0.056,-3.388,0.0583,0.299,"Anime"
30,0.337,0.561,0.633,0.0148,0.438,-6.044,0.039,0.351,"Jazz"
48,0.00121,0.688,0.557,0.897,0.26,-11.458,0.0694,0.0696,"Alternative"
41,0.0183,0.529,0.585,7.97e-06,0.348,-12.573,0.0284,0.958,"Country"
19,0.374,0.479,0.394,0.85,0.0924,-9.406,0.0291,0.101,"Anime"
59,0.243,0.648,0.717,0,0.0657,-8.872,0.0323,0.965,"Country"
35,0.326,0.568,0.893,0.0535,0.0674,-11.128,0.0336,0.927,"Blues"
52,0.000126,0.626,0.791,0.0219,0.439,-2.734,0.0721,0.433,"Alternative"
25,0.0769,0.636,0.903,0,0.0903,-4.014,0.0745,0.494,"Rock"
36,0.975,0.135,0.0157,0.917,0.0837,-22.789,0.0367,0.0553,"Classical"
38,0.000656,0.63,0.948,0.000504,0.0678,-4.557,0.154,0.808,"Electronic"
77,0.00148,0.613,0.953,0.000582,0.152,-3.435,0.0855,0.537,"Rock"
35,0.995,0.45,0.00375,0.917,0.108,-31.773,0.0545,0.0817,"Classical"
31,0.383,0.47,0.514,0.000371,0.116,-8.043,0.0303,0.697,"Blues"
52,0.0146,0.683,0.9,0.0706,0.296,-7.506,0.105,0.616,"Blues"
42,0.0671,0.612,0.863,0,0.11,-2.124,0.0379,0.618,"Alternative"
58,0.0159,0.555,0.924,0,0.075,-4.93,0.0604,0.865,"Rock"
61,0.369,0.518,0.913,0,0.289,-10.616,0.0559,0.774,"Country"
31,0.0171,0.606,0.817,0.258,0.137,-5.666,0.0331,0.369,"Blues"
53,0.413,0.876,0.574,0.000184,0.19,-5.442,0.0694,0.647,"Electronic"
12,0.616,0.4,0.678,0.946,0.0864,-7.17,0.0445,0.582,"Anime"
40,0.193,0.684,0.871,7.91e-05,0.164,-7.095,0.0343,0.631,"Country"
52,0.041,0.852,0.643,0,0.295,-8.429,0.307,0.572,"Rap"
23,0.285,0.455,0.639,0.0322,0.11,-8.948,0.0533,0.256,"Anime"
57,0.0117,0.361,0.872,0,0.318,-4.312,0.0392,0.578,"Rock"
53,1.86e-05,0.728,0.599,0.699,0.145,-8.85,0.0668,0.541,"Electronic"
74,0.484,0.71,0.404,0,0.0953,-10.04,0.379,0.398,"Rap"
46,0.296,0.696,0.59,0,0.384,-6.553,0.054,0.375,"Alternative"
58,0.319,0.388,0.368,2.02e-06,0.0992,-10.984,0.0289,0.175,"Rock"
58,0.0964,0.679,0.592,0.0138,0.16,-5.963,0.0402,0.55,"Rock"
35,0.861,0.558,0.545,0.0177,0.144,-6.481,0.0384,0.317,"Blues"
45,0.0068,0.51,0.665,0,0.0857,-6.6,0.0268,0.417,"Alternative"
45,0.117,0.841,0.652,0.831,0.101,-6.058,0.0308,0.943,"Jazz"
56,0.0469,0.542,0.744,0,0.194,-7.1,0.376,0.379,"Hip-Hop"
41,0.138,0.671,0.797,0,0.569,-4.707,0.23,0.802,"Country"
53,0.761,0.638,0.407,0.212,0.126,-11.3,0.0265,0.285,"Jazz"
63,0.305,0.536,0.792,0.69,0.105,-7.217,0.0305,0.706,"Blues"
34,0.00511,0.735,0.654,0.0137,0.358,-1.999,0.463,0.613,"Electronic"
62,0.00257,0.348,0.855,0.0176,0.248,-4.423,0.0483,0.161,"Rock"
61,0.0891,0.784,0.795,0,0.326,-4.159,0.225,0.504,"Hip-Hop"
33,0.51,0.218,0.104,0.692,0.0688,-22.809,0.047,0.0329,"Classical"
64,0.279,0.532,0.462,0.196,0.101,-10.71,0.03,0.485,"Rock"
59,0.0626,0.552,0.673,0.194,0.268,-10.4,0.0531,0.101,"Rap"
52,0.000416,0.557,0.862,0.000316,0.0577,-4.029,0.0637,0.531,"Alternative"
44,0.468,0.544,0.301,0,0.127,-11.091,0.0352,0.226,"Country"
55,0.272,0.977,0.334,0,0.109,-7.983,0.121,0.137,"Rap"
43,0.159,0.646,0.719,0.000432,0.0758,-7.192,0.0685,0.71,"Alternative"
48,0.7,0.687,0.505,4.19e-06,0.0748,-8.349,0.026,0.885,"Country"
57,0.0986,0.735,0.355,0.158,0.0534,-13.711,0.0329,0.449,"Rock"
57,0.27,0.568,0.329,0.00644,0.718,-10.638,0.0297,0.412,"Country"
51,0.154,0.805,0.848,0,0.54,-5.193,0.29,0.351,"Hip-Hop"
33,0.0378,0.81,0.793,1.82e-06,0.072,-9.404,0.0403,0.863,"Electronic"
46,0.102,0.563,0.684,0.00065,0.283,-7.413,0.253,0.501,"Alternative"
