"perimeter","compactness","lengthOfKernel","widthOfKernel","asymmetryCoefficient","seedType"
14.84,0.871,5.763,3.312,2.221,0
14.57,0.8811,5.554,3.333,1.018,0
14.09,0.905,5.291,3.337,2.699,0
13.94,0.8955,5.324,3.379,2.259,0
14.99,0.9034,5.658,3.562,1.355,0
14.21,0.8951,5.386,3.312,2.462,0
14.49,0.8799,5.563,3.259,3.586,0
14.1,0.8911,5.42,3.302,2.7,0
15.46,0.8747,6.053,3.465,2.04,0
15.25,0.888,5.884,3.505,1.969,0
14.85,0.8696,5.714,3.242,4.543,0
14.16,0.8796,5.438,3.201,1.717,0
14.02,0.888,5.439,3.199,3.986,0
14.06,0.8759,5.479,3.156,3.136,0
14.05,0.8744,5.482,3.114,2.932,0
14.28,0.8993,5.351,3.333,4.185,0
13.83,0.9183,5.119,3.383,5.234,0
14.75,0.9058,5.527,3.514,1.599,0
14.21,0.9153,5.205,3.466,1.767,0
13.57,0.8686,5.226,3.049,4.102,0
14.4,0.8584,5.658,3.129,3.072,0
14.26,0.8722,5.52,3.168,2.688,0
14.9,0.8988,5.618,3.507,0.7651,0
13.23,0.8664,5.099,2.936,1.415,0
14.76,0.8657,5.789,3.245,1.791,0
15.16,0.8849,5.833,3.421,0.903,0
13.76,0.8641,5.395,3.026,3.373,0
13.67,0.8564,5.395,2.956,2.504,0
14.18,0.882,5.541,3.221,2.754,0
14.02,0.8604,5.516,3.065,3.531,0
13.82,0.8662,5.454,2.975,0.8551,0
14.94,0.8724,5.757,3.371,3.412,0
14.41,0.8529,5.717,3.186,3.92,0
14.17,0.8728,5.585,3.15,2.124,0
14.68,0.8779,5.712,3.328,2.129,0
15,0.9,5.709,3.485,2.27,0
15.27,0.8734,5.826,3.464,2.823,0
15.38,0.9079,5.832,3.683,2.956,0
14.52,0.8823,5.656,3.288,3.112,0
14.17,0.8944,5.397,3.298,6.685,0
13.85,0.8871,5.348,3.156,2.587,0
13.85,0.8852,5.351,3.158,2.249,0
13.55,0.9009,5.138,3.201,2.461,0
14.86,0.882,5.877,3.396,4.711,0
14.54,0.8986,5.579,3.462,3.128,0
14.04,0.8794,5.376,3.155,1.56,0
14.76,0.8861,5.701,3.393,1.367,0
14.56,0.8883,5.57,3.377,2.958,0
14.52,0.8819,5.545,3.291,2.704,0
14.67,0.8676,5.678,3.258,2.129,0
14.4,0.8751,5.585,3.272,3.975,0
14.91,0.8923,5.674,3.434,5.593,0
14.61,0.8538,5.715,3.113,4.116,0
14.28,0.8831,5.504,3.199,3.328,0
14.6,0.8557,5.741,3.113,1.481,0
14.77,0.8658,5.702,3.212,1.933,0
14.35,0.8818,5.388,3.377,2.802,0
14.43,0.9006,5.384,3.412,1.142,0
14.77,0.8857,5.662,3.419,1.999,0
13.47,0.8392,5.159,3.032,1.502,0
12.86,0.8683,5.008,2.85,2.7,0
12.63,0.884,4.902,2.879,2.269,0
13.19,0.8923,5.076,3.042,3.22,0
13.84,0.868,5.395,3.07,4.157,0
13.57,0.8716,5.262,3.026,1.176,0
13.5,0.8879,5.139,3.119,2.352,0
14.37,0.8726,5.63,3.19,1.313,0
14.29,0.8625,5.609,3.158,2.217,0
14.39,0.8726,5.569,3.153,1.464,0
13.75,0.8458,5.412,2.882,3.533,0
13.92,0.848,5.472,2.994,5.304,1
13.94,0.8613,5.541,3.073,7.035,1
13.95,0.862,5.389,3.074,5.995,1
13.32,0.8652,5.224,2.967,5.469,1
13.4,0.8274,5.314,2.777,4.471,1
13.13,0.8167,5.279,2.687,6.169,1
13.13,0.8335,5.176,2.719,2.221,1
13.46,0.8658,5.267,2.967,4.421,1
13.71,0.8491,5.386,2.911,3.26,1
12.93,0.8107,5.317,2.648,5.462,1
13.23,0.8496,5.263,2.84,5.195,1
13.52,0.8249,5.405,2.776,6.992,1
13.6,0.8333,5.408,2.833,4.756,1
13.04,0.8266,5.22,2.693,3.332,1
13.05,0.8382,5.175,2.755,4.048,1
13.05,0.8253,5.25,2.675,5.813,1
12.87,0.8596,5.053,2.849,3.347,1
13.73,0.8081,5.394,2.745,4.825,1
13.52,0.8082,5.444,2.678,4.378,1
13.22,0.8263,5.304,2.695,5.388,1
13.67,0.8425,5.451,2.879,3.082,1
13.33,0.8503,5.35,2.81,4.271,1
13.41,0.8416,5.267,2.847,4.988,1
13.57,0.8558,5.333,2.968,4.419,1
12.79,0.8558,5.011,2.794,6.388,1
13.15,0.8793,5.105,2.941,2.201,1
13.59,0.8462,5.319,2.897,4.924,1
13.45,0.8443,5.417,2.837,3.638,1
13.12,0.8291,5.176,2.668,4.337,1
13,0.8359,5.09,2.715,3.521,1
13,0.8189,5.325,2.701,6.735,1
